关系类型	头实体	尾实体	头类型	尾类型	头原文	尾原文	文献编号	匹配类型	精简上下文	审核状态	修改建议	备注	_source	人工判定	问题说明	置信度
诱发-急性加重	肺结核	LABA联合LAMA	Disease	Medication	肺结核	LABA+LAMA	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	cooccur	感染或近期有肺结核感染的患者，应谨慎使用LABA+LAMA长效 受体激动剂（ ， ［ ］。	待审核		方向规范化：尾实体是Disease，反转方向（原LABA联合LAMA→肺结核）	cooccur	✗	"尾实体""LABA联合LAMA""是药物，不应使用""诱发-急性加重""关系(应为药物-治疗-疾病)"	0.85
疾病-并发症	慢性阻塞性肺疾病	阻塞性睡眠呼吸暂停	Disease	Disease	慢阻肺	阻塞性睡眠呼吸暂停	医学知识锚定	anchored	方案B锚定：阻塞性睡眠呼吸暂停是慢阻肺的合并症	保留		由方案B补充锚定边：阻塞性睡眠呼吸暂停为慢阻肺合并症		✓	实体在医学知识库中，关系类型合规	0.7
疾病-治疗	慢性阻塞性肺疾病	肺康复	Disease	Treatment	慢阻肺	肺康复	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	explicit	...预措施（）提升自我管理效能（）长期规范使用吸入药物并积极进行肺康复等非药物治疗（）针对诱发因素的预防措施：一般措施：避免人群聚...	待审核			explicit	✓	实体在医学知识库中，关系类型合规	0.7
药物-缓解-症状	长效毒蕈碱拮抗剂	喘息	Medication	Symptom	LAMA	喘息	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	cooccur	...舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
治疗-改善-症状	戒烟	腹胀	Treatment	Symptom	戒烟	腹胀	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	...然戒 避免在睡前服用~延长 酒或停用镇静剂酒石酸伐尼克兰片 戒烟前 周开始用药，第 天，对伐尼克兰或类似物过敏 恶心，口干，腹胀，便秘，所有接受伐尼克兰治疗的患者都~， 次 ；	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
检查-评估-疾病	肺功能	胸闷	Examination	Symptom	肺功能	胸闷	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	第 秒用力呼气容积 依据上述肺功能分级和对症状及急性加重风GOLD FEV表慢性阻塞性肺疾病（慢阻肺）患者自我评估测试问卷（ 问卷）［］CAT症状 评分（分） 症状我从不咳嗽 我总是咳嗽我肺里一点痰都没有 我肺里有很多痰我一点也没有胸闷的感觉 我有很重的胸闷的感觉当我在爬坡或爬一层楼梯时我并不感...	待审核		由相关细化为检查-评估-疾病（上下文关键词）	cooccur	✓	肺功能检查可客观评估气流受限程度, 间接反映胸闷严重程度, 医学事实正确	0.85
药物-缓解-症状	支气管舒张剂	呼吸困难	Medication	Symptom	支气管舒张剂	呼吸困难	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	"...评估：慢阻肺急性加重可分为..
会 （ ， 轻度（仅需要短效支气管舒张剂治疗）、中度［使用modified British medical research council）呼吸困难问卷［ ］（表 ）对呼吸困难严重程 短效支气管舒张剂并加用抗..."	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
疾病-并发症	慢性阻塞性肺疾病	呼吸衰竭	Disease	Disease	慢阻肺	呼吸衰竭	医学知识锚定	anchored	方案B锚定：呼吸衰竭是慢阻肺的严重并发症	保留		由方案B补充锚定边：呼吸衰竭为慢阻肺严重并发症		✓	实体在医学知识库中，关系类型合规	0.7
药物-治疗-疾病	心力衰竭	黏液溶解剂	Disease	Medication	心力衰竭	黏液溶解剂	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	"抑制剂 罗氟司特PDE‐β抗氧化剂和黏液溶解剂 乙酰半胱氨酸 心力衰竭：慢阻肺患者收缩性或舒张性心力N‐.
羧甲司坦衰竭的患病率为..."	待审核		方向规范化：尾实体是Disease，反转方向（原黏液溶解剂→心力衰竭）	cooccur	✗	黏液溶解剂用于COPD痰液黏稠, 不用于治疗心力衰竭	0.85
疾病-症状	慢性阻塞性肺疾病	头晕	Disease	Symptom	慢阻肺	头晕	50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年.txt	explicit	...昏或 二陈汤、全真一气汤、养阴清肺汤等有较好疗效，但目前文献头晕;⑥干咳或少痰、咯痰不爽;⑦盗汗;⑧手足心热;⑨舌质 证据质...	待审核			explicit	✓	实体在医学知识库中，关系类型合规	0.7
诱发-急性加重	肺炎	细菌感染	Disease	RiskFactor	肺炎	细菌感染	37_慢性阻塞性肺疾病中西医结合诊疗指南（2022）.txt	cooccur	阻肺急性加重患者合并细菌感染时最常见的临床 中西医结合治疗急性呼吸衰竭可能有助于提高总证候，针对痰热壅肺证患者，在西医规范治疗基础 有效率、撤机成功率、改善血氧和二氧化碳分压、上，酌情加用清热化痰类中药治疗，可一定程度上 降低呼吸机相关性肺炎发生率、降低病死率，但目减少抗生素的使用[-]。	待审核		方向规范化：尾实体是Disease，反转方向（原细菌感染→肺炎）	cooccur	✓	"""细菌感染""是COPD急性加重的已知诱因，医学事实正确"	0.75
