head,tail,context
慢性阻塞性肺疾病,慢性咳嗽,...积 依据上述肺功能分级和对症状及急性加重风GOLD FEV表慢性阻塞性肺疾病（慢阻肺）患者自我评估测试问卷（ 问卷）［］CAT症状 评分...
慢性阻塞性肺疾病,咳痰,...专家共识写作组，确定 接触史，并存在以下临床症状：慢性咳嗽、咳痰、共识撰写体例、大纲，基于循证证据和专家临床经验， 呼吸困难...
慢性阻塞性肺疾病,呼吸困难,...AECOPD南制定了慢阻肺自我管理中的常用工具和文件示例 或呼吸困难，可参照相应路径调整治疗策略（证据表慢性阻塞性肺疾病（简称慢阻肺）患者应该学会的自我管理知识与技能（患者解读版）...
呼吸衰竭,呼吸困难,...的胃肠功能具有保护作用，较对照组可降低善慢阻肺急性加重期合并呼吸衰竭患者神疲乏力、心 GSRS评分（MD -，%CI：-.~-.），改善患者悸气短、自汗盗汗等症状，缓解呼吸困难。
支气管哮喘,呼吸困难,... 是取暖吗 . 未来急性加重风险评估 患者在最近 d内出否现呼吸困难和/或咳嗽、咳痰的恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感
慢性阻塞性肺疾病,头痛,...咳嗽、咳痰时间（MD联合使用可有效缓解慢阻肺患者发热，咳嗽，头痛，咽 -.，%CI：-.~-.）以及发热时间（MD -.，痛...
慢性阻塞性肺疾病,失眠,...停（ 一、治疗目标obstructive sleep， ）和失眠 慢阻肺稳定期治疗目标是减轻当前症状和降apnea OSA慢...
慢性阻塞性肺疾病,心动过速,"...菌 其次为铜绿假单胞菌 革兰阴性肠杆菌d , , 、 、或 心动过速 通常是因为呼吸道感染 空气污 金黄色葡萄球菌和副流感嗜血杆..."
慢性阻塞性肺疾病,喘息,...亡率显著下降，年龄标准化气道炎症性疾病，临床表现为反复发作的喘息、气 死亡率和 率相较 年分别降低了DALY.%急，伴或不伴...
慢性阻塞性肺疾病,胸闷,...积 依据上述肺功能分级和对症状及急性加重风GOLD FEV表慢性阻塞性肺疾病（慢阻肺）患者自我评估测试问卷（ 问卷）［］CAT症状 评分（分） 症状我从不咳嗽 我总是咳嗽我肺里一点痰都没有 我肺
慢性阻塞性肺疾病,咳嗽加剧,"...AECOPD 既往有创机械通气治疗记录重 常伴有喘息 胸闷 咳嗽加剧 痰量增加 痰, 、 、 、 、 医疗保健体系情况液颜色和 ..."
心肌梗死,意识障碍,...氧疗，考查患者体力活心血管系统功能不稳定（低血压、心律失常和心肌梗死） 动和日常活动的能力，了解患者的症状（如mMRC嗜睡、意识障碍或患者不合作 或 问卷）以及合并症的情况。
慢性阻塞性肺疾病,乏力,...中存在的一些问ACO高度警惕合并肺癌的可能：不明原因的发热、乏力、 题：（） 的病情评估是按照慢阻肺的 、、、ACOS A ...
心力衰竭,呼吸困难,...规治疗基础上加用无创通气，可状与慢阻肺类似，可能被忽视，例如心力衰竭导致 改善因慢阻肺急性加重所致高碳酸血症患者和心的呼吸困难，抑郁症导致的乏力及体能下降等。
心力衰竭,乏力,...规治疗基础上加用无创通气，可状与慢阻肺类似，可能被忽视，例如心力衰竭导致 改善因慢阻肺急性加重所致高碳酸血症患者和心的呼吸困难，抑郁症导致的乏力及体能下降等。
肺癌,慢性咳嗽,...治 中医中药：中医常将感冒分为风寒感冒、风热疗无效的不明原因慢性咳嗽患者，支气管镜检查可 感冒、暑湿感冒等类型，治疗原则是疏风解表（荆防败用于诊断或排除气道腔病变导致的咳嗽病因，如支 毒散）、辛
肺炎,慢性咳嗽,"...咳嗽 咳痰症状加重 的 种病原体是流感嗜血杆菌 卡他莫拉菌和肺炎( ) 、 ,、症状恶化发生在 内 可能伴有呼吸急促和 链球..."
肺结核,慢性咳嗽,>ml据 线胸片检查有无异常将慢性咳嗽分为两类：一 多数慢性咳嗽患者可获明确诊断，并在针对性类为 线胸片有明确病变者，如肺炎、肺结核、支气 治疗后治愈或缓解。
支气管哮喘,慢性咳嗽,随着慢阻肺规范化诊疗与全病程管理的推行，哮喘是由多种细胞以及细胞组分参与的慢性 年我国慢阻肺死亡率显著下降，年龄标准化气...
支气管炎,慢性咳嗽,...哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致的肺部和全身炎症反应增加有关［］。
心肌梗死,慢性咳嗽,... （二）急性气管 支气管炎能是少数严重疾病的征象之一，如急性心肌梗死、 急性气管 支气管炎是由生物性或非生物性因左心功能不全、肺...
肺栓塞,慢性咳嗽,...管 支气管炎是由生物性或非生物性因左心功能不全、肺炎、气胸、肺栓塞及异物吸入。
支气管哮喘,喘息,...亡率显著下降，年龄标准化气道炎症性疾病，临床表现为反复发作的喘息、气 死亡率和 率相较 年分别降低了DALY.%急，伴或不伴...
支气管扩张,慢性咳嗽,大环内酯类药物有助于改善稳定‑~dCB十、其他慢性咳嗽病因的诊断与治疗 期支气管扩张症患者症状，减少急性加重风险，但（一）慢性支气管炎（ ） 要...
结核中毒症状,慢性咳嗽,其主要症状为慢性咳嗽，可伴有低嗽伴咳痰与其急性加重率增加、病死率增加 热、盗汗、消痩等结核中毒症状，部分患者咳嗽是其相关［ ］。
支气管哮喘,胸闷,...、气 死亡率和 率相较 年分别降低了DALY.%急，伴或不伴胸闷或咳嗽等症状，同时伴有气道高 和 ，但发病率和患病率分别增加...
支气管哮喘,咳痰,...急性加重风险评估 患者在最近 d内出否现呼吸困难和/或咳嗽、咳痰的恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支
阻塞性睡眠呼吸暂停,失眠,"... Gen Pract, June, Vol., No.（九）阻塞性睡眠呼吸暂停（ 一、治疗目标obstructive sleep， ）和失眠 慢阻肺稳定期治疗目标是减轻当前症状和降apnea O"
慢性阻塞性肺疾病,中成药,...虚证 于改善慢阻肺稳定期患者的焦虑、抑郁状态有较好疗效，但候中成药予百令胶囊［-，-］治疗可延缓肺功能下降( 推荐 目前文献证据质量相对较低，或是文献量偏少，甚至缺少文樊长征等:慢性阻塞性肺疾病
支气管扩张,咳痰,...有助于改善稳定‑~dCB十、其他慢性咳嗽病因的诊断与治疗 期支气管扩张症患者症状，减少急性加重风险，但（一）慢性支气管炎（ ） 要注意长期应用导致的细菌耐药性及药物不良反chronicbronc
支气管扩张,呼吸困难,...消炎丸具有清肺化痰，止咳平喘之痰多，舌红苔黄的患者，在氧疗、支气管扩张剂、抗感 功效，可有效缩短慢阻肺患者咳嗽、咳痰、喘息持续时染、营养支持、化痰治疗基础上，推荐联合使用桂龙咳 间，缓解呼吸困难
变应性鼻炎,慢性咳嗽,...查：用于检测患CTIgE管狭窄、支气管扩张等，对于一些少见的慢性咳嗽 者是否存在特应质和确定变应原类型，有助于变应病因，如支气管结石、复发性多软骨炎、支气管异 性疾病［如变应性鼻炎和变应性咳嗽（
非变应性鼻炎,慢性咳嗽,是哮喘的一种特殊类型，咳嗽是其唯一或CVA（）病因治疗： 非变应性鼻炎以及普通感冒： 主要临床表现，无明显喘息、气促等症状，但存在...
鼻窦炎,慢性咳嗽,"...鼻 临床表现：主要表现为刺激性干咳，通常咳③.
窦炎： 慢性鼻窦炎患者鼻窦分泌物细菌培养以 嗽比较剧烈，夜间及凌晨咳嗽为其重要..."
慢性支气管炎,慢性咳嗽,‑能与目前慢性支气管炎的诊断缺乏客观标准，在 （三）气管 支气管结核（ ）‑ bronchialtuberculosis流行病学调查时易将许多其他病因引起的慢性咳 国内气管 支气管结核在慢性咳嗽中并不
