head,tail,context
线胸片,慢性咳嗽,...查：用于检测患CTIgE管狭窄、支气管扩张等，对于一些少见的慢性咳嗽 者是否存在特应质和确定变应原类型，有助于变应病因，如支气管结石、复发性多软骨炎、支气管异 性疾病［如变应性鼻炎和变应性咳嗽（
线胸片,咳痰,线胸片对确定肺部并 对有慢性咳嗽或咳痰、呼吸困难、反复下呼吸发症及与其他疾病（如肺间质纤维化、肺结...
线胸片,呼吸困难,线胸片对确定肺部并 对有慢性咳嗽或咳痰、呼吸困难、反复下呼吸发症及与其他疾病（如肺间质纤维化、肺结核等）鉴道...
支气管舒张剂,呼吸困难,"...评估：慢阻肺急性加重可分为..
会 （ ， 轻度（仅需要短效支气管舒张剂治疗）、中度［使用modified British medical research council）呼吸困难问卷［ ］（"
长效β2受体激动剂,头痛,"...h,Vol.,No.更好的持续扩张小气道，改善肺功能和呼吸 头痛、头晕。"
长效β2受体激动剂,头晕,"...ol.,No.更好的持续扩张小气道，改善肺功能和呼吸 头痛、头晕。"
长效β2受体激动剂,呼吸困难,在以减少急性加重为治疗目标的随访路径中， 无论是以改善呼吸困难还是控制急性加重为呼吸困难 急性加重LAMA LABA LA...
LABA联合LAMA,慢性咳嗽,...虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以LABA+LAMA劳，伴食欲减退作为初始治疗选择，同时基肺肾两虚证：咳嗽、痰白质...
吸入药物,慢性咳嗽,...D治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，...
长效毒蕈碱拮抗剂,呼吸困难,在以减少急性加重为治疗目标的随访路径中， 无论是以改善呼吸困难还是控制急性加重为呼吸困难 急性加重LAMA LABA LA...
LABA联合LAMA,呼吸困难,一些患者如果既往用LABA+ICS能吸入技术及依从性 中药治疗 启动管理体力活动和运动 非药物治疗 戒烟 够控制呼吸困难和急性加重，仍然可以继续用，但需要进行呼吸康复 接种疫苗自我...
ICS联合LABA,呼吸困难,...虑 LABALAMA+LABA D CAT>EOS≥/μl ICS+LABA+三联治疗，尤其是重度或以上气流受限者 治疗后发生急性加重LAMA LAMA+LABA图慢性阻塞性肺疾病稳定期初始治疗
吸入性糖皮质激素,呼吸困难,在以减少急性加重为治疗目标的随访路径中， 无论是以改善呼吸困难还是控制急性加重为呼吸困难 急性加重LAMA LABA LA...
糖皮质激素,呼吸困难,上 随访和家庭护理计划安排妥当 如随访基 气管舒张剂 吸入糖皮质激素对改善呼吸困难症状;() ( 、层社区医师家庭医疗等与肺功能减少急性加重有...
抗菌药物,呼吸困难,"...
或社区支持不足 有抗菌治疗指征者，在评估病原体、采样后应用抗菌药物有指征者，建议使用无创通气动态监测液体、电解质和酸碱平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭、心律失常、肺栓塞等）符合"
吸入性糖皮质激素,慢性咳嗽,表中西医联合防治慢性阻塞性肺疾病临床应用指南推荐意见摘要分期/合并症 目的 适用人群 证候 西医基础治疗 推荐意见 推荐...
第一代抗组胺药物,慢性咳嗽,推荐由第一代抗组胺药物、减充 亚急性咳嗽最常见的原因是 ，其次为‑C PICfmx...
镇咳药物,慢性咳嗽,...e of Chest Physicians ACCP菌药物和镇咳药物，收效甚微并产生诸多不良反 洲呼吸学会（ ， ）等Europ...
口服抗菌药物,慢性咳嗽,"...inJGenPract March,Vol.,No.考虑给予口服抗菌药物。"
激动剂,慢性咳嗽,...力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便...
激动剂,喘息,...舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒
减充血剂,慢性咳嗽,（）减充血剂与抗组胺药：减充血剂与第一 外证据表明，抗菌药物治疗对急性气...
黏液溶解剂,慢性咳嗽,是炎症刺激上呼吸道咳嗽感受器所致，指南建议用 （）祛痰剂及黏液溶解剂等（如羧甲司坦 ，mg替代 ［］。
羧甲司坦,慢性咳嗽,...吸道咳嗽感受器所致，指南建议用 （）祛痰剂及黏液溶解剂等（如羧甲司坦 ，mg替代 ［］。
受体阻断剂,慢性咳嗽,... 颈椎病、肝海绵状血管瘤、迷走神经球瘤、乳糜泻、舌异丙酚、 受体阻断剂、来氟米特、辛伐他汀、 干下异位甲状腺、外耳道耵聍、胸膜子宫...
长效β2受体激动剂,慢性咳嗽,...重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便...
长效毒蕈碱拮抗剂,慢性咳嗽,次或次急性加重 一种支气管舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 m...
抗菌药物,慢性咳嗽,...对口服. ICS疗 周以上，初期可短期口服小剂量糖皮质激素 抗菌药物治疗无反应，或口服抗菌药物治疗失败时（ ）［ ， （］ ）。
促胃动力药,慢性咳嗽,动力药：促胃动力药对缓解 相关症状可能有GERD诊断标准：（）慢性咳嗽，以白天咳嗽常见， 效，建议对于 患者，可在抑酸基础上联用促...
中枢性镇咳药,慢性咳嗽,中枢性镇咳药是指作用于延· · 中华全科医师杂志 年 月第 卷第 期 ，...
线胸片,流清涕,...咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。
线胸片,头痛,...咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。
线胸片,脉浮,...咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。
支气管舒张剂,慢性咳嗽,...推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组...
短效β2受体激动剂,呼吸困难,LABAh SABA持续扩张小气道、改善肺功能和呼吸困难症状，可 当外周血 水平较高时，急性加重高风险EOS作为有明...
吸入性糖皮质激素,心动过速,...独使用 不能阻止 的/d ICS FEV不良反应：总体而言，吸入性 受体激动剂的 降低趋势，也不能改变慢阻肺患者的病死率，因此不良反应远低于口服剂型，相对常见的不良反应有 不推荐稳定期慢阻肺患者
激动剂,心动过速,...阻止 的/d ICS FEV不良反应：总体而言，吸入性 受体激动剂的 降低趋势，也不能改变慢阻肺患者的病死率，因此不良反应远低于口服剂型，相对常见的不良反应有 不推荐稳定期慢阻肺患者单用 治疗，
糖皮质激素,心动过速,...反应有 不推荐稳定期慢阻肺患者单用 治疗，也不推荐ICS窦性心动过速、肌肉震颤（通常为手颤），不常见的 长期口服糖皮质激素。
抗胆碱能药物,慢性咳嗽,... 联合小青龙汤 弱推荐 专家共识闷，痰稀薄、量多，易咯出，效抗胆碱能药物）作为急性恶寒，舌苔白滑 加重的初始支气管舒张剂治疗；
激动剂,中成药,干 预 措 施为此，在《中成药治疗优势病种临床应用指南》 （intervention/indicator，I）：中成药单独使用或联合标准化项目的委托下，中国中药协会肺病药物研究专 西医治疗（如长效胆碱
糖皮质激素,中成药,干 预 措 施为此，在《中成药治疗优势病种临床应用指南》 （intervention/indicator，I）：中成药单独使用或联合标准化项目的委托下，中国中药协会肺病药物研究专 西医治疗（如长效胆碱
线胸片,变应性咳嗽,...支气管结石、复发性多软骨炎、支气管异 性疾病［如变应性鼻炎和变应性咳嗽（ ，atopiccough物、早期间质性肺疾病等， 线胸片不易发现此类 ）］的诊断。
减充血剂,喘息,...病因治疗： 非变应性鼻炎以及普通感冒： 主要临床表现，无明显喘息、气促等症状，但存在气推荐首选口服第一代抗组胺药和减充血剂治 道高反应性。
糖皮质激素,喘息,鼻用糖皮质激素包括糠酸莫米松、丙酸氟 分典型哮喘患者虽有一过性喘息症状，但持续性咳地卡松和布地奈德鼻喷剂等。
抑酸药物,慢性咳嗽,（）抑酸药物：推荐抑.%~% GERC者可伴反酸、胸骨后烧灼感及嗳气等典...
他汀类药物,慢性咳嗽,他汀类药物［ ］、甘露醇吸入也可能有助‑在社区流行病学调查中，慢性支气管炎是常 于支气管扩张症治疗，但不推荐常规临床应见疾病，然而在专科门诊诊治的慢性咳嗽患者中， 用［ ］（ ）。
支气管舒张剂,肺脾气虚,...推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以L...
支气管舒张剂,喘息,...推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以LABA+LAMA劳，伴食欲减退作为初始治疗选择，同时
支气管舒张剂,乏力,次或次急性加重 一种支气管舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动
支气管舒张剂,自汗,次或次急性加重 一种支气管舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动
长效毒蕈碱拮抗剂,肺脾气虚,...次急性加重 一种支气管舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分...
长效毒蕈碱拮抗剂,喘息,...舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，...
长效毒蕈碱拮抗剂,乏力,...为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激...
长效毒蕈碱拮抗剂,自汗,...， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，...
长效β2受体激动剂,肺脾气虚,...次急性加重 一种支气管舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，
长效β2受体激动剂,喘息,...舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒
长效β2受体激动剂,乏力,...为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便...
长效β2受体激动剂,自汗,...， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便...
长效β2受体激动剂,腹胀,...重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便溏，舌体胖大或EOS=嗜酸粒细胞计数，ICS=吸入性糖皮
激动剂,肺脾气虚,...次急性加重 一种支气管舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，
激动剂,乏力,...为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便...
激动剂,自汗,...， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便...
激动剂,腹胀,...力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便溏，舌体胖大或EOS=嗜酸粒细胞计数，ICS=吸入性糖皮...
长效毒蕈碱拮抗剂,腹胀,...体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便溏，舌体胖大或EOS=嗜酸粒细胞计数，ICS=吸入性糖皮...
吸入性糖皮质激素,乏力,...为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便溏，舌
吸入性糖皮质激素,自汗,...， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便溏，舌体胖大
吸入性糖皮质激素,腹胀,...体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便溏，舌体胖大或EOS=嗜酸粒细胞计数，ICS=吸入性糖皮质激素。
苏子降气丸,中成药,"...治疗，根据患者情况推荐合适的中医康复疗 加减[-,]，或选用中成药苏子降气丸[,]、苓桂咳喘法，具有较好的安全性（证据级别：低证据质量；"
苏子降气丸,咳痰,中成药：吸气促，胸部胀闷，咳痰稀薄色白，常伴鼻塞，流清涕， 苏子降气丸、蛤蚧定喘胶囊/丸等。
苏子降气丸,流清涕,中成药：吸气促，胸部胀闷，咳痰稀薄色白，常伴鼻塞，流清涕， 苏子降气丸、蛤蚧定喘胶囊/丸等。
抗菌药物,喘息,② 中度：使用短效支气..肺肾气阴两虚证 ① 喘息、气短，动则加管舒张剂联合抗菌药物，或/和口服糖皮质激素；
抗菌药物,意识障碍,... 性加重 基层医疗机构无必需的医疗设备 技术诊患者 应在开始抗菌药物治疗前留取合 治 患者意识状态改变 如出现嗜睡 谵妄或AEC...
