name,type,label_cn
ACEI,Medication,ACEI
CT,Examination,CT
CVA,Disease,
ICS联合LABA,Medication,ICS联合LABA
LABA联合LAMA,Medication,LABA联合LAMA
三联疗法,Treatment,
中成药,Symptom,中成药
中枢性镇咳药,Medication,中枢性镇咳药
乏力,Symptom,乏力
二氧化氮,RiskFactor,二氧化氮
二氧化硅,RiskFactor,二氧化硅
二氧化硫,RiskFactor,二氧化硫
他汀类药物,Medication,他汀类药物
代谢综合征,Complication,代谢综合征
体位引流,Treatment,体位引流
促胃动力药,Medication,促胃动力药
健脾,Treatment,健脾
免疫调节剂,Medication,免疫调节剂
减充血剂,Medication,减充血剂
刺激性咳嗽,Symptom,
受体阻断剂,Medication,受体阻断剂
变应性咳嗽,Symptom,变应性咳嗽
变应性鼻炎,Disease,变应性鼻炎
口服抗菌药物,Medication,口服抗菌药物
右心衰竭,Disease,右心衰竭
吸入性糖皮质激素,Medication,吸入性糖皮质激素
吸入药物,Medication,吸入药物
吸气流速,Examination,吸气流速
吸烟,RiskFactor,吸烟
吸烟史,RiskFactor,吸烟史
呕吐,Symptom,
呼吸困难,Symptom,呼吸困难
呼吸衰竭,Disease,呼吸衰竭
呼吸道感染,RiskFactor,呼吸道感染
呼吸频率,Examination,呼吸频率
咳嗽加剧,Symptom,咳嗽加剧
咳痰,Symptom,咳痰
咳脓性痰,Symptom,
啰音,Symptom,
喘息,Symptom,喘息
噻托溴铵,Medication,
复发性多软骨炎,Disease,
失眠,Symptom,失眠
头晕,Symptom,头晕
头痛,Symptom,头痛
宣肺止咳,Treatment,宣肺止咳
家族史,RiskFactor,
左氧氟沙星,Medication,
布地奈德,Medication,
度普利尤单抗,Medication,度普利尤单抗
心力衰竭,Disease,心力衰竭
心动过速,Symptom,心动过速
心电图,Examination,心电图
心绞痛,Complication,心绞痛
心肌梗死,Disease,心肌梗死
心血管疾病,Disease,心血管疾病
恩塞芬汀,Medication,恩塞芬汀
意识障碍,Symptom,意识障碍
慢性咳嗽,Symptom,慢性咳嗽
慢性支气管炎,Disease,慢性支气管炎
慢性阻塞性肺疾病,Disease,慢性阻塞性肺疾病
戒烟,Treatment,戒烟
手术切除,Treatment,手术切除
抑郁症,Complication,抑郁症
抑酸药物,Medication,抑酸药物
抗感染,Treatment,抗感染
抗组胺药物,Medication,抗组胺药物
抗胆碱能药物,Medication,抗胆碱能药物
抗菌药物,Medication,抗菌药物
支气管哮喘,Disease,支气管哮喘
支气管扩张,Disease,支气管扩张
支气管炎,Disease,支气管炎
支气管舒张剂,Medication,支气管舒张剂
无创通气,Treatment,无创通气
气候变化,RiskFactor,气候变化
气虚,Symptom,气虚
气道炎症,Disease,
气道神经源性炎症,Disease,
氟替卡松,Medication,
污染物,RiskFactor,污染物
沙丁胺醇,Medication,
活血,Treatment,活血
流感病毒,RiskFactor,
流清涕,Symptom,流清涕
流行性感冒,Disease,流行性感冒
混合感染,RiskFactor,混合感染
激动剂,Medication,激动剂
烟草烟雾,RiskFactor,烟草烟雾
焦虑症,Complication,焦虑症
生物制剂,Medication,生物制剂
病毒感染,RiskFactor,
益肺灸,Treatment,益肺灸
益肾,Treatment,益肾
短效β2受体激动剂,Medication,短效β2受体激动剂
磷酸二酯酶抑制剂,Medication,磷酸二酯酶抑制剂
祛邪,Symptom,祛邪
福莫特罗,Medication,
空气污染,RiskFactor,空气污染
第一代抗组胺药物,Medication,第一代抗组胺药物
粉尘,RiskFactor,
糖尿病,Disease,糖尿病
糖皮质激素,Medication,糖皮质激素
红细胞增多症,Disease,红细胞增多症
线胸片,Examination,线胸片
细支气管炎,Disease,
细菌感染,RiskFactor,细菌感染
结核中毒症状,Disease,结核中毒症状
绞痛,Symptom,
罗氟司特,Medication,
羧甲司坦,Medication,羧甲司坦
联合制剂,Medication,联合制剂
肌肉酸痛,Symptom,肌肉酸痛
肢体酸痛,Symptom,肢体酸痛
肺减容手术,Treatment,肺减容手术
肺功能,Examination,肺功能
肺动脉高压,Disease,肺动脉高压
肺康复,Treatment,肺康复
肺栓塞,Disease,肺栓塞
肺炎,Disease,肺炎
肺癌,Disease,肺癌
肺结核,Disease,肺结核
肺脾气虚,Symptom,肺脾气虚
胃食管反流,Disease,
胸腔积液,Complication,胸腔积液
胸闷,Symptom,胸闷
脉搏血氧,Examination,脉搏血氧
脉浮,Examination,脉浮
腹泻,Symptom,腹泻
腹胀,Symptom,腹胀
自汗,Symptom,自汗
舒肺贴,Treatment,舒肺贴
苏子降气丸,Medication,苏子降气丸
茶碱,Medication,
茶碱类药物,Medication,茶碱类药物
血嗜酸粒细胞计数,Examination,血嗜酸粒细胞计数
血常规,Examination,血常规
血气分析,Examination,血气分析
补肺,Treatment,补肺
贫血,Disease,贫血
超声心动图,Examination,
遗传,RiskFactor,
镇咳药物,Medication,镇咳药物
长效β2受体激动剂,Medication,长效β2受体激动剂
长效毒蕈碱拮抗剂,Medication,长效毒蕈碱拮抗剂
阻塞性睡眠呼吸暂停,Disease,阻塞性睡眠呼吸暂停
阻抗训练,Treatment,阻抗训练
非变应性鼻炎,Disease,非变应性鼻炎
风寒袭肺,Symptom,风寒袭肺
骨质疏松症,Disease,骨质疏松症
高碳酸血症,Complication,
黏液溶解剂,Medication,黏液溶解剂
鼻后滴流综合征,Disease,
鼻窦炎,Disease,鼻窦炎
鼻窦炎症状,Disease,鼻窦炎症状
