head,tail,context
慢性阻塞性肺疾病,戒烟,...（ ） 单落实出院管理核心措施，主要内VAS容包括药物治疗、戒烟、吸入器技术患者二氧化碳潴留及对更高的呼吸支持需求，但不评估...
支气管扩张,戒烟,轻度 COPD 患者一般采用短效支气管扩张剂进行按需治疗，并强烈建议戒烟。
慢性阻塞性肺疾病,无创通气,...用临床的选择性 抑制剂罗氟司特 呼吸康复治疗、家庭氧疗、家庭无创通气、疫苗、气PDE‐（ ）在亚洲人群中耐受性良好，口服罗氟 道...
慢性阻塞性肺疾病,阻抗训练,...液高分泌的慢阻肺患者，无论稳定期 局部肌肉群的一种运动方式，阻抗训练方式通常包评估分组如何，均可在起始治疗中加用祛痰剂。
慢性阻塞性肺疾病,肺减容手术,...肺的内科介入治疗是基息状态下，达到 和（或）使 达到 于外科肺减容术的原理和患者获益分析，为减少外PaO≥mmHg SaO，以维持...
慢性阻塞性肺疾病,手术切除,...volumereductionsurgery LVRS指通过手术切除部分气肿的肺组织来治疗慢阻肺 练［ ］、营养支持［ ］、氧疗...
呼吸衰竭,无创通气,在积可以产生一定水平的呼气末正压（平均为 极的药物和无创通气治疗后，若患者的呼吸衰竭仍），对慢阻肺急性加重患者的呼吸困难有一 进行性恶化，出现危...
心血管疾病,戒烟,‐‐危及生命的低氧血症，且患者不能耐受无创通气［（一）心血管疾病心血管疾病是慢阻肺常见和重要的合并慢阻肺急性加重的预防：减少急性加重频率症［ ， ， ］，主要包括缺血性心脏病、心力衰竭、心.的干预措施
心血管疾病,无创通气,‐‐危及生命的低氧血症，且患者不能耐受无创通气［（一）心血管疾病心血管疾病是慢阻肺常见和重要的合并慢阻肺急性加重的预防：减少...
心力衰竭,无创通气,‐‐危及生命的低氧血症，且患者不能耐受无创通气［（一）心血管疾病心血管疾病是慢阻肺常见和重要的合并慢阻肺急性加重的预防：减少急性加重频率症［ ， ， ］，主要包括缺血性心脏病、心力衰竭、心.的干预措施
心力衰竭,戒烟,心力衰竭加重需与慢阻肺急性加重进行鉴抗感染制剂 大环内酯类药物疫苗 流感疫苗、肺炎球菌疫苗 别，合并慢阻肺常是导致急性心力衰竭患者住院的其他 戒烟 原因。
肺炎,戒烟,...阻肺急性加重进行鉴抗感染制剂 大环内酯类药物疫苗 流感疫苗、肺炎球菌疫苗 别，合并慢阻肺常是导致急性心力衰竭患者住院的其他 戒烟 原因。
慢性阻塞性肺疾病,肺康复,...预措施（）提升自我管理效能（）长期规范使用吸入药物并积极进行肺康复等非药物治疗（）针对诱发因素的预防措施：一般措施：避免人群聚...
