head,tail,context
肺减容手术,呼吸困难,按需氧疗、无创通气、 学习吸入技术肺减容术、舒缓治疗 缓解呼吸困难 慢阻肺治疗的远期目标是降低患者病死率，表疫苗 制订行动计划...
无创通气,呼吸困难,...疗指征者，在评估病原体、采样后应用抗菌药物有指征者，建议使用无创通气动态监测液体、电解质和酸碱平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭、心律失常、肺栓塞等）符合以下任意条，考虑入ICU治
无创通气,乏力,在常规治疗基础上加用无创通气，可状与慢阻肺类似，可能被忽视，例如心力衰竭导致 改善因慢阻肺急性加重所致高碳酸血症患者和心的呼吸困难，抑郁症导致的乏力及体能下降等。
体位引流,慢性咳嗽,"...排, ; ,采取有效诊断措施 痰治疗 如刺激咳嗽 叩击胸部 体位引流等方。"
手术切除,慢性咳嗽,肺癌咳嗽的治疗关键在于原发灶的治 的慢性咳嗽病因检查，排除已知的慢性咳嗽病因，疗，放疗、化疗、射频消融术及手术切除肺部肿瘤能 针对慢性咳嗽病因治疗无效的情况下，方可考虑不够缓...
补肺,慢性咳嗽,病情，及时识别以咳嗽为突出症状的危及生命的疾治法：补肺益肾，温阳止咳 病，并给予正确处理，迅速转诊至有治疗条件的上...
益肾,慢性咳嗽,病情，及时识别以咳嗽为突出症状的危及生命的疾治法：补肺益肾，温阳止咳 病，并给予正确处理，迅速转诊至有治疗条件的上方药...
肺康复,呼吸困难,肺康复是对患者进行全面评估后为患积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外者量身打造的个体化综合干预，是改善呼吸困难、并发症或合并症也是加重呼吸道症状的常见原因，健康状况和运动...
戒烟,慢性咳嗽,...知识、规律用 吸困难导致机体能量过度消耗、消化吸收功能减药、戒烟、疫苗接种、肺康复训练、定期随访、急性发 退，从而出现营养不...
肺康复,慢性咳嗽,...困难导致机体能量过度消耗、消化吸收功能减药、戒烟、疫苗接种、肺康复训练、定期随访、急性发 退，从而出现营养不良。
戒烟,腹胀,...然戒 避免在睡前服用~延长 酒或停用镇静剂酒石酸伐尼克兰片 戒烟前 周开始用药，第 天，对伐尼克兰或类似物过敏 恶心，口干，腹胀，便秘，所有接受伐尼克兰治疗的患者都~， 次 ；
阻抗训练,慢性咳嗽,...包者制定合理、科学的食谱，对摄入正常食物无法满 括有氧运动、阻抗训练、呼吸肌训练、咳嗽和气道足营养需要的患者可以适当给予口服营养...
戒烟,呼吸困难,...技术及依从性 中药治疗 启动管理体力活动和运动 非药物治疗 戒烟 够控制呼吸困难和急性加重，仍然可以继续用，但需要进行呼吸康复 接种疫苗自我...
补肺,中成药,级别: D; 推荐强度: 强推荐使用) : 党参g、黄芪 中成药: 肺肾气虚兼血瘀者，可选补肺活血胶g、白术g、茯苓g、杏仁g、川贝母g、地龙 囊［-］(...
宣肺止咳,肺脾气虚,际; 肺阴亏虚证，加膏肓、太溪; 肺脾气虚者，可..疏风散寒，宣肺止咳类 通宣理肺丸 ( 胶 加脾俞、足三里; 素体阳虚，咳嗽遇冷...
宣肺止咳,慢性咳嗽,...; 肺阴亏虚证，加膏肓、太溪; 肺脾气虚者，可..疏风散寒，宣肺止咳类 通宣理肺丸 ( 胶 加脾俞、足三里; 素体阳虚，咳嗽遇冷...
活血,胸闷,⑤ 胸闷甚至气 其标”的原则，以清热、涤痰、活血、宣降肺气、开逆不能平卧；
补肺,肺脾气虚,（肺气虚证用补肺方，肺脾气虚证用补肺健脾方， 中医辨证方案为：肺脾气虚证采用补肺健脾肺肾...
健脾,肺脾气虚,（肺气虚证用补肺方，肺脾气虚证用补肺健脾方， 中医辨证方案为：肺脾气虚证采用补肺健脾肺肾气虚证用补肺...
补肺,气虚,（肺气虚证用补肺方，肺脾气虚证用补肺健脾方， 中医辨证方案为：肺脾气虚证采用...
益肾,气虚,（肺气虚证用补肺方，肺脾气虚证用补肺健脾方， 中医辨证方案为：肺脾气虚证采用补肺健脾肺肾气虚证用补肺益肾方）可减少患者急性加重次 方，亦可选用六君子汤和黄芪汤加减[...
益肾,中成药,方药:补肺益肾方［-］( 证据级别 B;推荐强度:中成药:玉屏风颗粒［-］( 冲剂) ( 证据级别 B; 强推荐使用...
健脾,气虚,（肺气虚证用补肺方，肺脾气虚证用补肺健脾方， 中医辨证方案为：肺脾气虚证采用补肺健脾肺肾气虚证用补肺...
益肾,肺脾气虚,（肺气虚证用补肺方，肺脾气虚证用补肺健脾方， 中医辨证方案为：肺脾气虚证采用补肺健脾肺肾气虚证用补肺益肾方）可减少患者急性加重次 方，亦可选用六君子汤和黄芪汤加减[...
肺康复,气虚,B级证据）肾定喘丸联合沙美特罗替卡松及肺康复训练治疗慢阻肺 证据概述：项随机、安慰剂对照、多中心、双盲稳定期肺肾气虚证GOLD~级患者周，较对照组 RCT（例）[]报道了黄龙咳...
舒肺贴,中成药,"太极拳、针刺、呼吸 亦可选用小青龙汤加减[,]，或选用中成药小青龙导引、穴位贴敷（如舒肺贴、消喘膏等）、益肺灸等 颗粒[,]；"
益肺灸,中成药,"太极拳、针刺、呼吸 亦可选用小青龙汤加减[,]，或选用中成药小青龙导引、穴位贴敷（如舒肺贴、消喘膏等）、益肺灸等 颗粒[,]；"
活血,气虚,... 推荐强度: 强推荐使用) : 党参g、黄芪 中成药: 肺肾气虚兼血瘀者，可选补肺活血胶g、白术g、茯苓g、杏仁g、川贝母g、地龙 囊［-］( 证...
活血,祛邪,...要》引《皆效方》加减［，］( 证据级别:D;推 瘀，故治疗当祛邪( 化痰、活血) 扶正( 补益肺气、补荐强度:强推荐使用) : 法半夏g、...
补肺,祛邪,...等实证，以虚证为主，以实证为次，故治疗以补益为主如补益肺气、补肺健脾、补肺益肾等，佐以祛邪如 克虎、詹思延、胡镜清、张俊华、陈薇、廖星、宇文亚。
健脾,祛邪,...要》引《皆效方》加减［，］( 证据级别:D;推 瘀，故治疗当祛邪( 化痰、活血) 扶正( 补益肺气、补荐强度:强推荐使用) : 法半夏g、厚朴g、陈皮 肺健脾、补益肺肾等) 并重［，］。
健脾,喘息,...，在西医常规治疗基础上，中迷) ;) 肢体瘛疭甚则抽搐;) 喘息气促;) 喉中痰 医辨证治疗方案( 肺脾气虚证用补肺健脾方，肺肾气鸣;) 舌质淡或红、舌苔白腻或黄腻，或脉滑或数。
健脾,慢性咳嗽,... 三联药物（ICS/LABA/LAMA）联合使用丹龙口服液较健脾益气的功效，可改善慢阻肺患者咳嗽痰多、色白黏 对照组，可改善...
健脾,咳痰,推荐依据：固肾定喘丸功效温肾纳气、健脾化用法用量：玉屏风颗粒，口服，每次g，每日 痰，可缓解慢阻肺稳定期患者喘息气短、咳嗽咳痰、腰次。
补肺,腹泻,干、腹泻、恶心、心悸，治疗组与对照组比较差异无统 用法用量：保元汤合人参补肺汤（人参g 黄芪g计学意义（RR.，%CI：.~.）。
补肺,乏力,...：补中益气汤具有补中益气、升阳举陷的 推荐依据：百令胶囊功效补肺肾，益精气，可改善功效，可通过培补脾胃、滋养气血肌肉，改善慢阻肺患 肺肾亏虚导致的运动不耐受，神疲乏力，腰膝酸软等症者运动不耐受。
肺康复,喘息,B级证据）肾定喘丸联合沙美特罗替卡松及肺康复训练治疗慢阻肺 证据概述：项随机、安慰剂对照、多中心、双盲稳定期肺肾气虚证GOLD~级患者周，较对照组 RCT（例）[]报道了黄龙咳喘胶囊治疗慢阻肺稳定期可
补肺,头晕,...：纳入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反应，慢阻肺合并肺动脉高压患者周，记录不良反应包括项研究[]报道，玉
活血,头晕,...入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反应，慢阻肺合并肺动脉高压患者周，记录不良反应包括项研究[]报道，玉屏风
宣肺止咳,风寒袭肺,宣肺止咳的功效，联合使用可改善慢阻肺风寒袭肺证使用方法：使用方法见表。
无创通气,慢性咳嗽,...气，需要注意经 推荐依据：痰热清注射液功擅清热、化痰、解毒，无创通气初始治疗失败而接受有创通气的患者，其并发 联合使用改善慢阻肺...
无创通气,咳痰,...气，需要注意经 推荐依据：痰热清注射液功擅清热、化痰、解毒，无创通气初始治疗失败而接受有创通气的患者，其并发 联合使用改善慢阻肺急性加重期患者咳嗽咳痰等症状，症更多、住院时间更长、病死率更高，应
活血,肢体酸痛,...郁化热，烦躁口渴、口苦者，减桂枝，加急性加重期以清热、涤痰、活血、宣肺降气、开窍而立 生石膏g( 先煎) 、黄芩g、桑白皮g;肢体酸痛法，兼顾气阴。
活血,中成药,级别: D; 推荐强度: 强推荐使用) : 党参g、黄芪 中成药: 肺肾气虚兼血瘀者，可选补肺活血胶g、白术g、茯苓g、杏仁g、川贝母g、地龙 囊［-］( 证...
补肺,喘息,...，在西医常规治疗基础上，中迷) ;) 肢体瘛疭甚则抽搐;) 喘息气促;) 喉中痰 医辨证治疗方案( 肺脾气虚证用补肺健脾方，肺肾气鸣;) 舌质淡或红、舌苔白腻或黄腻，或脉滑或数...
补肺,意识障碍,...搐;) 喘息气促;) 喉中痰 医辨证治疗方案( 肺脾气虚证用补肺健脾方，肺肾气鸣;) 舌质淡或红、舌苔白腻或黄腻，或脉滑或数...
健脾,意识障碍,...) 喘息气促;) 喉中痰 医辨证治疗方案( 肺脾气虚证用补肺健脾方，肺肾气鸣;) 舌质淡或红、舌苔白腻或黄腻，或脉滑或数。
益肾,呼吸困难,次症: 喉中痰 证用补肺益肾方) 能够减少患者急性加重次数，改善鸣，肢体瘛疭甚则抽搐，舌质暗红、绛、紫，脉滑、 肺功能和呼吸困难程度，改善临床症状，提高运动耐数［］。
健脾,头晕,此证亦可选用补肺健脾方［-］( 证据级别 B; 头晕;) 干咳或少痰、咯痰不爽;) 盗汗;) 手足心推荐强度:弱...
益肾,祛邪,...为主，以实证为次，故治疗以补益为主如补益肺气、补肺健脾、补肺益肾等，佐以祛邪如 克虎、詹思延、胡镜清、张俊华、陈薇、廖星、宇文亚。
补肺,腹胀,治疗可改善患者咳嗽、咯痰、气短、纳少、腹胀症状( 推荐强 补肺汤处方出处为元·李仲南《永类钤方》。
健脾,中成药,不良反应:偶见恶心、呕吐、胃 虚证候慢阻肺中成药予人参健脾丸［］治疗可提高MWD部不适、便秘、咽干。
活血,失眠,适应症:益气活血，补仁;失眠者加远志、龙骨、牡蛎;腹泻者去肉苁蓉、熟地黄加车 肺固肾。
活血,腹泻,适应症:益气活血，补仁;失眠者加远志、龙骨、牡蛎;腹泻者去肉苁蓉、熟地黄加车 肺固肾。
