head,tail,source,doc
呼吸衰竭,胸腔积液,,
呼吸衰竭,高碳酸血症,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
心力衰竭,心绞痛,,
心力衰竭,抑郁症,,
心力衰竭,胸腔积液,,
心力衰竭,高碳酸血症,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
心肌梗死,心绞痛,,
心血管疾病,代谢综合征,,
心血管疾病,心绞痛,,
心血管疾病,抑郁症,,
心血管疾病,焦虑症,,
慢性阻塞性肺疾病,代谢综合征,,
慢性阻塞性肺疾病,右心衰竭,,
慢性阻塞性肺疾病,呼吸衰竭,,
慢性阻塞性肺疾病,心力衰竭,,
慢性阻塞性肺疾病,心绞痛,,
慢性阻塞性肺疾病,心肌梗死,,
慢性阻塞性肺疾病,心血管疾病,,
慢性阻塞性肺疾病,慢性支气管炎,,
慢性阻塞性肺疾病,抑郁症,,
慢性阻塞性肺疾病,支气管哮喘,,
慢性阻塞性肺疾病,支气管扩张,,
慢性阻塞性肺疾病,支气管炎,,
慢性阻塞性肺疾病,焦虑症,,
慢性阻塞性肺疾病,糖尿病,,
慢性阻塞性肺疾病,肺动脉高压,,
慢性阻塞性肺疾病,肺栓塞,,
慢性阻塞性肺疾病,肺炎,,
慢性阻塞性肺疾病,肺癌,,
慢性阻塞性肺疾病,肺结核,,
慢性阻塞性肺疾病,胸腔积液,,
慢性阻塞性肺疾病,脉浮,,
慢性阻塞性肺疾病,贫血,,
慢性阻塞性肺疾病,阻塞性睡眠呼吸暂停,,
慢性阻塞性肺疾病,骨质疏松症,,
支气管哮喘,心绞痛,,
支气管哮喘,胸腔积液,,
支气管扩张,抑郁症,,
支气管扩张,焦虑症,,
流行性感冒,抑郁症,,
流行性感冒,焦虑症,,
糖尿病,代谢综合征,,
糖尿病,心绞痛,,
糖尿病,抑郁症,,
肺栓塞,胸腔积液,,
肺炎,心绞痛,,
肺炎,胸腔积液,,
肺癌,代谢综合征,,
肺癌,心绞痛,,
肺癌,慢性咳嗽,,
肺癌,抑郁症,,
肺癌,焦虑症,,
肺癌,胸腔积液,,
肺癌,胸闷,,
肺结核,代谢综合征,,
贫血,心绞痛,,
贫血,抑郁症,,
骨质疏松症,抑郁症,,
骨质疏松症,焦虑症,,
