head,tail,context
糖尿病,心绞痛,COPD患者面临着更高的心肌梗塞、心绞痛、呼吸道感染、骨质疏松、骨折、糖尿病、抑郁症、睡眠障碍、青光眼和贫血的风险。
糖尿病,抑郁症,...者面临着更高的心肌梗塞、心绞痛、呼吸道感染、骨质疏松、骨折、糖尿病、抑郁症、睡眠障碍、青光眼和贫血的风险。
贫血,心绞痛,COPD患者面临着更高的心肌梗塞、心绞痛、呼吸道感染、骨质疏松、骨折、糖尿病、抑郁症、睡眠障碍、青光眼和贫血的风险。
贫血,抑郁症,...更高的心肌梗塞、心绞痛、呼吸道感染、骨质疏松、骨折、糖尿病、抑郁症、睡眠障碍、青光眼和贫血的风险。
慢性阻塞性肺疾病,乏力,( 、初始抗菌治疗的疗效 抗菌治疗既要关注 肌肉酸痛 全身乏力和呼吸道感染 时间 并、 ) <d患者的短期疗效 如迅速改善...
肺结核,慢性咳嗽,线胸片对确定肺部并 对有慢性咳嗽或咳痰、呼吸困难、反复下呼吸发症及与其他疾病（如肺间质纤维化、肺结核等）鉴道感染史和（或）有慢阻肺危险因素暴露史的患者，别具有重...
肺结核,咳痰,线胸片对确定肺部并 对有慢性咳嗽或咳痰、呼吸困难、反复下呼吸发症及与其他疾病（如肺间质纤维化、肺结核等）鉴道感染史和（或）有慢阻肺危险因素暴露史的患者，别具有重...
肺结核,呼吸困难,线胸片对确定肺部并 对有慢性咳嗽或咳痰、呼吸困难、反复下呼吸发症及与其他疾病（如肺间质纤维化、肺结核等）鉴道感染史和（或）有慢阻肺危险因素暴露史的患者，别具有重...
心力衰竭,呼吸困难,"...加重风险与严重程度 并借助客观检查进一步 水平升高有助于鉴别心力衰竭引起, NT-proBNP)确定如胸部CT肺气肿气道壁增厚及慢性支气 的急性呼吸困难[]。"
阻塞性睡眠呼吸暂停,慢性咳嗽,引起咳嗽的独立危险因素包括：吸烟悬雍垂过长、阻塞性睡眠呼吸暂停% ACEI史、 引起咳嗽的既往史、东亚人（华人）等，与 气...
心肌梗死,慢性咳嗽,...，有痰重症疾病 非重症疾病而不易咳出者使用祛痰剂或黏痰溶急性心肌梗死、左心衰竭、 感染 原有疾病加重 环境职业因素 解剂可在一定...
支气管炎,慢性咳嗽,...等)联合会于武汉举办的肺系病学术交流会上进行了第和急性气管－支气管炎; 亚急性咳嗽主要包括感染二次共识论证会，根据专家意见进一步...
支气管炎,喘息,...性结果 性咳嗽，感染因素依旧存在，可能需要抗感染治疗，前，伴喘息的急性支气管炎成人患者，使用 受体 建议考虑此部分患者转诊至专科医院，明确...
糖皮质激素,慢性咳嗽,...感染的病原菌对口服. ICS疗 周以上，初期可短期口服小剂量糖皮质激素 抗菌药物治疗无反应，或口服抗菌药物治疗失败时（ ）［ ， ...
抗组胺药物,慢性咳嗽,...症状、避免急性加重，建议在患者一般情治疗：吸入 和（或）口服抗组胺药物治 况差和需要住院治疗时，或所感染的病原菌对口服. ICS疗...
CT,呼吸困难,"...升高有助于鉴别心力衰竭引起, NT-proBNP)确定如胸部CT肺气肿气道壁增厚及慢性支气 的急性呼吸困难[]。"
慢性阻塞性肺疾病,肌肉酸痛,( 、初始抗菌治疗的疗效 抗菌治疗既要关注 肌肉酸痛 全身乏力和呼吸道感染 时间 并、 ) <d患者的短期疗效 ...
肺功能,肌肉酸痛,...在 （一）慢阻肺的筛查和病例发现早期出现相应感染症状（发热、肌肉酸痛、全身乏力 有条件的基层医疗机构可以直接用肺功能检和呼吸道感染）并且正处于流行病学暴发时期 查设备开展筛查和...
肺功能,乏力,...肺的筛查和病例发现早期出现相应感染症状（发热、肌肉酸痛、全身乏力 有条件的基层医疗机构可以直接用肺功能检和呼吸道感染）并且正处于流行病学暴发时期 查设备开展筛查和...
肺癌,咳痰,对于 病变，如支气管肺癌、异物、结核、复发性多软骨炎‑能自发咳痰的患者，自发痰细胞学检查具有与诱导 等引起的咳嗽，但不推荐将...
支气管哮喘,心动过速,...恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致...
支气管炎,心动过速,...姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致的肺部和全身炎症反应增加有关［］。
慢性阻塞性肺疾病,心动过速,...姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致...
补肺,呼吸困难,...评估的基础上，可考虑更换吸入装置或药RCT研究[]报告，联合补肺活血胶囊治疗例慢阻 物、升级药物治疗方案至LAMA+LABA、实施或升级非肺合并肺动脉高压患者周，记录不良反应包括血氧 药物治疗措
活血,呼吸困难,...的基础上，可考虑更换吸入装置或药RCT研究[]报告，联合补肺活血胶囊治疗例慢阻 物、升级药物治疗方案至LAMA+LABA、实施或升级非肺合并肺动脉高压患者周，记录不良反应包括血氧 药物治疗措施，
戒烟,中成药,物的排出;鼓励患者咳嗽、排痰、戒烟、预防感冒及呼中成药:) 生脉饮口服液( 证据级别: D; 推荐强 吸道感染;在...
慢性阻塞性肺疾病,呼吸道感染,...的诱发因素，并积极采取行动和措施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇...
糖尿病,呼吸道感染,...患病高风险人群 凡有慢阻肺危险结合中国的临床实际，参考近年来糖尿病和高脂血症 因素如年龄≥ 岁、早产、出生低体质量、儿童时等慢性疾病管理的临床经验，邀请多位慢阻肺专家 期反复发生下呼吸道感染、中
贫血,呼吸道感染,COPD患者面临着更高的心肌梗塞、心绞痛、呼吸道感染、骨质疏松、骨折、糖尿病、抑郁症、睡眠障碍、青光眼和贫血的风险。
慢性阻塞性肺疾病,肺康复,（四）体力活动和肺康复 的急性加重患者有明确的病毒或细菌感染证鼓励所有慢阻肺患者保...
慢性支气管炎,吸烟,...A+ICS ICS出院早期的 患者，仍处于急性加 （ 且患有慢性支气管炎）或阿奇霉素（既AECOPD FEV<%重 稳定期的过渡期，易出现病情反复、诱发心血管 往吸烟患者），也可尝试生物制剂。
肺炎,激动剂,与特定活性药物组合相关的不良事件的评估，如长效β 激动剂和吸入性糖皮质激素联用，需要评估是否增加肺炎发生率或降低呼吸道感染。
肺炎,呼吸道感染,"...咳嗽 咳痰症状加重 的 种病原体是流感嗜血杆菌 卡他莫拉菌和肺炎( ) 、 ,、症状恶化发生在 内 可能伴有呼吸急促和 链球菌 其次为铜绿假单胞菌 革兰阴性肠杆菌d , , 、 、或 心动过速 "
鼻窦炎,呼吸道感染,嗽主要包括急性上呼吸道感染 ( 包括普通感冒、年月日在中华中医药学会、世界中医药学会流行性感冒、急性咽喉炎、鼻炎、副鼻窦炎等)联合会于武汉举办的肺系病学术交流会上进行了第和急性气管－...
支气管炎,呼吸道感染,嗽主要包括急性上呼吸道感染 ( 包括普通感冒、年月日在中华中医药学会、世界中医药学会流行性感冒、急性咽喉炎、鼻炎、副鼻窦炎等)联合会于武汉举办的肺系病学术交流会上进行了第和急性气管－支气管炎; 亚急性
慢性阻塞性肺疾病,细菌感染,"...经常冬季咳嗽 、 咳痰 , 伴或不伴气短, AECOPD 非慢性阻塞性肺疾病肺部疾病病史 如曾疑似哮喘见触发因素 下呼吸道细菌感染 空气污染和寒冷 ,, 、 评估全身性并发症 药物使用及依从.."
慢性支气管炎,呼吸道感染,...可有效预 疗 年（ mg/次， 次/d）可有效降低慢阻肺急防呼吸道感染、减少慢性支气管炎急性感染发作次 性加重次数并缩短急性加重期持续时间。
慢性阻塞性肺疾病,空气污染,...：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸...
支气管哮喘,呼吸道感染,"mMRC ,总之 呼吸道病毒感染是导致 的常 发热和上呼吸道感染症状 , 如经常冬季咳嗽 、 咳痰 , 伴或不伴气短, AECOPD 非慢性阻塞性肺疾病肺部疾病病史 如曾疑似哮喘见触发因素 下呼吸道细"
慢性阻塞性肺疾病,肺减容手术,"的禁 慢阻肺急性加重的病因和诱发因素：慢阻肺LVRS.
忌证包括： 占预计值 ；"
心力衰竭,糖皮质激素,...现包括右心房增大 右心室肥厚 右束支传 有使用抗菌药物或口服糖皮质激素治疗 病程迁、 、 ( 、导阻滞 肢体导联电压低 型 电轴右 延 每年急性加重超过 次、 、SSS、 、、FEV%pred<
心力衰竭,抗菌药物,... ( )异常表现包括右心房增大 右心室肥厚 右束支传 有使用抗菌药物或口服糖皮质激素治疗 病程迁、 、 ( 、导阻滞 肢体导联电压低 型 电轴右 延 每年急性加重超过 次、 、SSS、 、、FE
慢性阻塞性肺疾病,抗菌药物,"西班牙 诊断和治疗指南中抗菌药物 患者 临床上发现合并医院获得性肺炎AECOPD AECOPD ,推荐[]:()对于无铜绿假单胞菌感染危 或者呼吸机相关性肺炎可以结合影像学痰液性状险因素的患者 主要依"
慢性阻塞性肺疾病,抗感染,...冷汗淋漓、精神萎靡的患者，在有创—无创正压通气、吸氧、平喘、抗感染治疗的基础上，推 无创序贯机械通气和基础治疗（解痉平喘药物、...
肺炎,糖皮质激素,相对少见的病原体包括肺炎 较长时间使用广谱抗菌药物和（或）近期反复全身PA衣原体、肺炎支原体、军团菌、金黄色葡萄球菌 应用糖皮质激素治疗的患者，应注意真菌感染可中华结核和呼吸杂志 年 月第 卷...
心力衰竭,抗感染,心力衰竭加重需与慢阻肺急性加重进行鉴抗感染制剂 大环内酯类药物疫苗 流感疫苗、肺炎球菌疫苗 别，合并慢...
肺炎,抗感染,...社区 痰多质黏色黄，舌红苔黄的患者，在止咳化痰、平喘、获得性肺炎患者日，报告不良反应共例，包括恶心、 持续低流量吸氧、抗感染基础上推荐联合使用痰热清注上腹部不适、静脉炎，与对照组比较，...
肺癌,短效β2受体激动剂,...因可能诱发心房颤动，不利于控制心室 （ ）筛查可及时发现早期肺癌，可作为改善CT LDCT率［ ， ］。
变应性鼻炎,血常规,由变应性鼻炎引起的 、 、X UACS CVA AC外周血常规：白细胞计数和中性粒细胞分类 患者的阳性比例较高， 亦有一定...
心肌梗死,呼吸道感染,急性咳嗽主要与上呼吸道感染有关，但亦有可 （二）急性气管 支气管炎能是少数严重疾病的征象之一，如急性心肌梗死、 急性气管 支气管炎是由生物性或非生物性因左心功能不全、肺...
肺栓塞,呼吸道感染,...的诱发因素，并积极采取行动和措施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心
支气管哮喘,口服抗菌药物,相关检查，治疗 感冒 急性支 其他 哮喘 慢性支 支气管 其他气管炎 气管炎 扩张 如有明确细菌感染征象，如咳脓性图急性咳嗽的诊断流程图 痰或外周血白细胞计数增高者，可· · 中华全科医师杂志 年 月
