head,tail,context
心血管疾病,心绞痛,...究表明 抑制剂（罗氟司特）［ ］、大环内酯类 高风险患者发生心血管事件（死亡、心肌梗死、卒PDE‐抗生素［ ］及对维生素 重度缺乏患者给予补充维 中、不稳定心绞痛、短暂性脑缺血发作）的风险增生素
慢性阻塞性肺疾病,抑郁症,...uncil mMRC慢阻肺患者经常伴有其他慢性疾病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质...
心力衰竭,抑郁症,...规治疗基础上加用无创通气，可状与慢阻肺类似，可能被忽视，例如心力衰竭导致 改善因慢阻肺急性加重所致高碳酸血症患者和心的呼吸困难，抑郁症导致的乏力及体能下降等。
糖尿病,代谢综合征,六、合并症 （四）代谢综合征与糖尿病慢阻肺经常与其他疾病（合并症）共存，这些疾 代谢综合征和 型...
慢性阻塞性肺疾病,代谢综合征,...uncil mMRC慢阻肺患者经常伴有其他慢性疾病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌..
支气管扩张,焦虑症,研究发现，合并支气管扩张与慢阻肺%~%焦虑和抑郁是慢阻肺重要合并症，常发生于年 急性...
支气管扩张,抑郁症,研究发现，合并支气管扩张与慢阻肺%~%焦虑和抑郁是慢阻肺重要合并症，常发生于年 急性...
慢性阻塞性肺疾病,焦虑症,...uncil mMRC慢阻肺患者经常伴有其他慢性疾病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质...
慢性阻塞性肺疾病,心绞痛,近年来，大家在这方面做了大量的研究工作，然而，笔者认为，当慢阻肺患者出现以下症状和体征时应 必须看到 临床评估和治疗中存...
支气管哮喘,心绞痛,"... 心悸、 , 、 、等因素是 的重要诱因 近年来 嗜酸粒 对支气管舒张剂的需求增加AECOPD 。"
慢性阻塞性肺疾病,胸腔积液,...吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是...
慢性阻塞性肺疾病,支气管扩张,方案B锚定：支气管扩张是慢阻肺的鉴别诊断
慢性阻塞性肺疾病,呼吸衰竭,方案B锚定：呼吸衰竭是慢阻肺的严重并发症
慢性阻塞性肺疾病,支气管哮喘,方案B锚定：支气管哮喘是慢阻肺的鉴别诊断
慢性阻塞性肺疾病,右心衰竭,方案B锚定：右心衰竭是慢阻肺的严重并发症
慢性阻塞性肺疾病,肺炎,方案B锚定：肺炎是慢阻肺的鉴别诊断
慢性阻塞性肺疾病,肺栓塞,方案B锚定：肺栓塞是慢阻肺的并发症
慢性阻塞性肺疾病,心肌梗死,方案B锚定：心肌梗死是慢阻肺的合并症
慢性阻塞性肺疾病,心血管疾病,方案B锚定：心血管疾病是慢阻肺的合并症
慢性阻塞性肺疾病,心力衰竭,方案B锚定：心力衰竭是慢阻肺的合并症
慢性阻塞性肺疾病,肺癌,方案B锚定：肺癌是慢阻肺的合并症
慢性阻塞性肺疾病,糖尿病,方案B锚定：糖尿病是慢阻肺的合并症
慢性阻塞性肺疾病,阻塞性睡眠呼吸暂停,方案B锚定：阻塞性睡眠呼吸暂停是慢阻肺的合并症
慢性阻塞性肺疾病,肺结核,方案B锚定：肺结核是慢阻肺的鉴别诊断
慢性阻塞性肺疾病,支气管炎,方案B锚定：支气管炎是慢阻肺的相关疾病
慢性阻塞性肺疾病,肺动脉高压,方案B锚定：肺动脉高压是慢阻肺的并发症
慢性阻塞性肺疾病,慢性支气管炎,方案B锚定：慢性支气管炎是慢阻肺的相关疾病
慢性阻塞性肺疾病,贫血,方案B锚定：贫血是慢阻肺的合并症
慢性阻塞性肺疾病,骨质疏松症,方案B锚定：骨质疏松症是慢阻肺的合并症
