关系类型	头实体	尾实体	头类型	尾类型	头原文	尾原文	文献编号	匹配类型	精简上下文	审核状态	修改建议	备注	_source
疾病-症状	慢性阻塞性肺疾病	慢性咳嗽	Disease	Symptom	慢性阻塞性肺疾病	咳嗽	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	explicit	...积 依据上述肺功能分级和对症状及急性加重风GOLD FEV表慢性阻塞性肺疾病（慢阻肺）患者自我评估测试问卷（ 问卷）［］CAT症状 评分...	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	咳痰	Disease	Symptom	慢阻肺	咳痰	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	explicit	...专家共识写作组，确定 接触史，并存在以下临床症状：慢性咳嗽、咳痰、共识撰写体例、大纲，基于循证证据和专家临床经验， 呼吸困难...	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	呼吸困难	Disease	Symptom	慢阻肺	呼吸困难	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	explicit	...AECOPD南制定了慢阻肺自我管理中的常用工具和文件示例 或呼吸困难，可参照相应路径调整治疗策略（证据表慢性阻塞性肺疾病（简称慢阻肺）患者应该学会的自我管理知识与技能（患者解读版）...	待审核			explicit
疾病-治疗	慢性阻塞性肺疾病	戒烟	Disease	Treatment	COPD	戒烟	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	explicit	...（ ） 单落实出院管理核心措施，主要内VAS容包括药物治疗、戒烟、吸入器技术患者二氧化碳潴留及对更高的呼吸支持需求，但不评估...	待审核			explicit
疾病-治疗	支气管扩张	戒烟	Disease	Treatment	支气管扩张	戒烟	11_【参考】慢性阻塞性肺病（COPD）治疗药物临床研究指导原则-EMA.txt	explicit	轻度 COPD 患者一般采用短效支气管扩张剂进行按需治疗，并强烈建议戒烟。	待审核			explicit
疾病-症状	呼吸衰竭	呼吸困难	Disease	Symptom	呼吸衰竭	呼吸困难	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...的胃肠功能具有保护作用，较对照组可降低善慢阻肺急性加重期合并呼吸衰竭患者神疲乏力、心 GSRS评分（MD -，%CI：-.~-.），改善患者悸气短、自汗盗汗等症状，缓解呼吸困难。	待审核			explicit
疾病-症状	支气管哮喘	呼吸困难	Disease	Symptom	支气管哮喘	呼吸困难	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	explicit	... 是取暖吗 . 未来急性加重风险评估 患者在最近 d内出否现呼吸困难和/或咳嗽、咳痰的恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气...	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	头痛	Disease	Symptom	慢阻肺	头痛	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...咳嗽、咳痰时间（MD联合使用可有效缓解慢阻肺患者发热，咳嗽，头痛，咽 -.，%CI：-.~-.）以及发热时间（MD -.，痛...	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	失眠	Disease	Symptom	慢阻肺	失眠	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	explicit	...停（ 一、治疗目标obstructive sleep， ）和失眠 慢阻肺稳定期治疗目标是减轻当前症状和降apnea OSA慢...	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	心动过速	Disease	Symptom	COPD	心动过速	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	explicit	...菌 其次为铜绿假单胞菌 革兰阴性肠杆菌d , , 、 、或 心动过速 通常是因为呼吸道感染 空气污 金黄色葡萄球菌和副流感嗜血杆...	待审核			explicit
