head,tail,source,doc
二氧化氮,慢性阻塞性肺疾病,,
二氧化硅,慢性阻塞性肺疾病,,
二氧化硫,慢性阻塞性肺疾病,,
吸烟,呼吸衰竭,,
吸烟,心力衰竭,,
吸烟,心肌梗死,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
吸烟,心血管疾病,,
吸烟,慢性支气管炎,,
吸烟,慢性阻塞性肺疾病,,
吸烟,支气管哮喘,,
吸烟,支气管扩张,,
吸烟,糖尿病,,
吸烟,细支气管炎,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
吸烟,肺动脉高压,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
吸烟,肺栓塞,,
吸烟,肺炎,,
吸烟,肺癌,,
吸烟,胃食管反流,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
吸烟,阻塞性睡眠呼吸暂停,,
吸烟,骨质疏松症,,
吸烟,鼻窦炎,,
吸烟史,CVA,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
吸烟史,慢性阻塞性肺疾病,,
吸烟史,支气管哮喘,,
吸烟史,支气管扩张,,
吸烟史,糖尿病,,
吸烟史,细支气管炎,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
吸烟史,肺癌,,
吸烟史,肺结核,,
吸烟史,阻塞性睡眠呼吸暂停,,
呼吸道感染,CVA,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
呼吸道感染,心力衰竭,,
呼吸道感染,慢性支气管炎,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
呼吸道感染,慢性阻塞性肺疾病,,
呼吸道感染,支气管哮喘,,
呼吸道感染,支气管炎,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
呼吸道感染,糖尿病,,
呼吸道感染,肺动脉高压,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
呼吸道感染,肺栓塞,,
呼吸道感染,贫血,cooccurrence,11_【参考】慢性阻塞性肺病（COPD）治疗药物临床研究指导原则-EMA_cleaned.txt
家族史,CVA,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
家族史,心力衰竭,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
家族史,心血管疾病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
家族史,慢性支气管炎,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
家族史,慢性阻塞性肺疾病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
家族史,支气管哮喘,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
家族史,肺动脉高压,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
家族史,肺癌,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
抗感染,呼吸衰竭,,
抗感染,心力衰竭,,
抗感染,慢性阻塞性肺疾病,,
抗感染,肺炎,,
气候变化,慢性阻塞性肺疾病,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
气候变化,支气管哮喘,,
气候变化,肺炎,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
污染物,慢性阻塞性肺疾病,,
污染物,支气管哮喘,,
流感病毒,肺炎,cooccurrence,68_2022_慢性阻塞性肺疾病免疫调节治疗专家共识_cleaned.txt
混合感染,鼻窦炎,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
烟草烟雾,慢性阻塞性肺疾病,,
