head,tail,context
肺功能,慢性咳嗽,第 秒用力呼气容积 依据上述肺功能分级和对症状及急性加重风GOLD FEV表慢性阻塞性肺疾病（...
肺功能,咳痰,"...D AECOPD 、 、床表现 即患者呼吸困难 咳嗽和 或 咳痰等主 稳定期肺功能与既往 综合研判, 、 ( ) ABG、 AECOPD诉症状..."
肺功能,呼吸困难,...ed respiratory disease and）问卷和肺功能问卷（ 压力定量吸入气雾剂时可以加用储雾罐协助，可显著提exacerbation risk lung function 高药物在
肺功能,头痛,"...is,March,Vol.,No.更好的持续扩张小气道，改善肺功能和呼吸 头痛、头晕。"
肺功能,头晕,"...is,March,Vol.,No.更好的持续扩张小气道，改善肺功能和呼吸 头痛、头晕。"
呼吸频率,呼吸困难,...者呼吸性酸中毒，降低 、PaCO机械通气策略有助于早日撤机［呼吸频率、呼吸困难程度，缩短住院时间，减少病死（四）出院、访视及预防率和气管插...
CT,头痛,证据概述：项RCT研究（例）[] 提示与对照推荐依据：疏风解毒胶囊功擅疏风清热，解毒利咽， 组相比，联合痰热清注射液可缩短咳嗽、咳痰时间（MD联合使用可有效缓解慢阻肺患者发热，咳嗽，头痛，咽 -.，%
心电图,慢性咳嗽,...感性高症见咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮...
心电图,咳痰,血浆 二聚体敏感性高症见咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮...
心电图,流清涕,...感性高症见咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。
心电图,头痛,...感性高症见咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。
心电图,脉浮,...感性高症见咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。
心电图,呼吸困难,"...伤都会增加患者死亡风险[]因此示糖皮质激素治疗反应性好[] 心电图异常或呼吸困难比 预期更严重AECOPD文献报道在除外合并哮喘后,%~%应..."
血气分析,中成药,纳入以上文献困难、发热等）、病死率、血气分析 （动脉血氧分压 中提及的中成药。
呼吸频率,中成药,中成药：外感风热初期发热无汗咽痛， 氧饱和度，降低心率、呼吸频率［-］。
肺功能,气虚,肺肾气虚证 于改善慢阻肺稳定期患者的焦虑、抑郁状态有较好疗效，但候中成药予百令胶囊［-，-］治疗可延缓肺功能下降( 推荐 目前文献证据质量相对较低，或是文献量偏少，甚至...
肺功能,中成药,...虚证 于改善慢阻肺稳定期患者的焦虑、抑郁状态有较好疗效，但候中成药予百令胶囊［-，-］治疗可延缓肺功能下降( 推荐 目前文献证据质量相对较低，或是文献量偏少，甚至...
CT,气虚,...慢阻肺 证据概述：项随机、安慰剂对照、多中心、双盲稳定期肺肾气虚证GOLD~级患者周，较对照组 RCT（例）[]报道了黄龙咳喘胶囊治疗慢阻肺稳定期可改善喘息（MD...
CT,中成药,C级证据）年版《中国药典》，在《中成药治疗慢性阻塞性肺证据概述：项RCT研究（例）[]表明与对照 疾病临床应用指南（年）》[]中推荐...
CT,胸闷,...推荐依据：润肺膏功效润肺益气，止咳化痰，可缓 证据概述：项RCT（例）[]报道了补中益解慢阻肺稳定期患者胸闷、咳嗽咳痰、气喘出汗等症状。
CT,腹泻,证据概述：项RCT研究（例）[]报道了百安全性：纳入的项研究中，项[]研究（例） 令胶囊联合异丙托溴胺气雾剂治疗慢阻肺稳定期GOLD报告了联合使用补中益气汤周的不良反应，包括口级肺肾气虚证患者个月，较
CT,流清涕,推荐依据：RCT研究显示，选择联合太极拳、八段 推荐意见：对于慢阻肺急性加重期咳嗽，喘息，锦、穴位贴敷、温针灸治疗可显著改善患者呼吸困难症 恶寒，发热，痰白，流清涕，肢体酸痛，舌苔薄白的患者，状和（或
CT,肢体酸痛,推荐依据：RCT研究显示，选择联合太极拳、八段 推荐意见：对于慢阻肺急性加重期咳嗽，喘息，锦、穴位贴敷、温针灸治疗可显著改善患者呼吸困难症 恶寒，发热，痰白，流清涕，肢体酸痛，舌苔薄白的患者，状和（或
CT,腹胀,...注射液辅助治疗慢阻肺急性加重期合并Ⅱ型呼吸衰 证据概述：项RCT研究（例）[]显示较对竭、经无创呼吸机通气及呼吸兴奋剂治疗无效并具备气 照组，联合加味凉膈散能够改善患者的腹胀证候评分管插管指征的
