head,tail,context
血气分析,呼吸困难,...状，如突发或加观察症状和体征，连续监测氧饱和度，间歇检测动脉血气分析，控重的静息呼吸困难、呼吸频率增快、氧合下降、意识改变、嗜睡；
血气分析,意识障碍,...状，如突发或加观察症状和体征，连续监测氧饱和度，间歇检测动脉血气分析，控重的静息呼吸困难、呼吸频率增快、氧合下降、意识改变、嗜睡...
呼吸频率,意识障碍,...连续监测氧饱和度，间歇检测动脉血气分析，控重的静息呼吸困难、呼吸频率增快、氧合下降、意识改变、嗜睡；
CT,慢性咳嗽,...（ ）或 织的慢性非特异性炎症，临床上以咳嗽、咳痰为主A RCT系统评价或 分析Meta 要症状，或有喘息，每年发病持续 个...
肺功能,喘息,有些哮喘患者肺功能已有明显下降，. UACS/PNDS等多种基础疾病，症状及体征差异较大且多无特异 但咳嗽仍为唯一症状或主要症状，也有部分典型哮性，因此，必须综合病史、体征及相关检查，在除外 喘患者在
CT,咳痰,...的随机对照试验（ ）或 织的慢性非特异性炎症，临床上以咳嗽、咳痰为主A RCT系统评价或 分析Meta 要症状，或有喘息，每年发病持续 个...
CT,喘息,...（ ）或 织的慢性非特异性炎症，临床上以咳嗽、咳痰为主A RCT系统评价或 分析Meta 要症状，或有喘息，每年发病持续 个月或更长时证据来自有研究缺陷的 或低质量的...
肺功能,胸闷,第 秒用力呼气容积 依据上述肺功能分级和对症状及急性加重风GOLD FEV表慢性阻塞性肺疾病（慢阻肺）患者自我评估测试问卷（ 问卷）［］CAT症状 评分（分） 症状我从不咳嗽 我总是咳嗽我肺里一点痰都
CT,心动过速,...动脉造影、 二聚体以及胸部 检查、肺通气灌注显影、. D⁃ CT D⁃ CT肺动脉造影 下肢多普勒超声、超声心动图联合检测. CT心力衰竭 胸部影像学 新出现的呼吸困难或呼吸困难加剧、心动过速、
CT,变应性咳嗽,CTC部 检查有助于发现气管壁增厚、气管壁钙化、气 （）变应原皮试和血清 检查：用于检测患CTIgE管狭窄、支气管扩张等，对于一些少见的慢性咳嗽 者是否存在特应质和确定变应原类型，有助于变应病因，如支
肺功能,肺脾气虚,...阻肺的疾病特点与转..中医药治疗是否可延缓慢阻肺稳定期患者的肺功能 归，增强其接受规范诊疗的信心，并提醒患者定期监测与随下降 访;另一方面，建议慢阻肺患者注意生活方式的调整，同时临...推荐意见
脉搏血氧,心动过速,"评分 记录呼吸急促 心动过速等体征 结合痰量与环境因素 也可以由; 、 , AECOPD AECOPD和颜色 呼吸窘迫 如使用辅助呼吸肌 综合评 非感染因素引起 如吸烟 大气污染 吸入变应原、 ( )"
