head,tail,context
吸烟,心血管疾病,对于暂时没有戒烟意愿的吸烟者采取慢阻肺合并症的评估：在对慢阻肺患者进行 “ ”干预措施增强其戒烟动机，“ ”包括： 相关.RR ①病情严重程度的综合评估时，还应注意患者的各种 （ ）：使吸烟者认识到戒
慢性阻塞性肺疾病,吸烟,...施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物...
慢性阻塞性肺疾病,呼吸道感染,...时等慢性疾病管理的临床经验，邀请多位慢阻肺专家 期反复发生下呼吸道感染、中重度吸烟、长期粉尘组成慢阻肺中西医结合管理专家共识写作组...
慢性阻塞性肺疾病,细菌感染,发病和加剧的重要因素，病毒和（或）细菌感染是慢引用本文：中华医学会呼吸病学分会慢性阻塞性肺疾病学组 中国医师协会呼吸医师分会慢性阻塞性肺疾病工作委员会 慢...
支气管哮喘,呼吸道感染,...吸矛盾运动，部分患者在呼吸困难加史、结核病史［ ］、儿童时期呼吸道感染［ ］及呼吸道 重时采用缩唇呼吸方式和（或）前倾体位；
肺炎,吸烟,良反应发生率低，但 有增加肺炎发病率的风ICS不良反应和注意事项：总体来说，吸入抗胆碱能药 险［ ］，发生肺炎的高危因素如下［ ］： 吸烟；
心力衰竭,抗感染,心力衰竭加重需与慢阻肺急性加重进行鉴抗感染制剂 大环内酯类药物疫苗 流感疫苗、肺炎球菌疫苗 别，合并慢...
支气管扩张,吸烟,研究发现，合并支气管扩张与慢阻肺%~%焦虑和抑郁是慢阻肺重要合并症，常发生于年 急性加重病程延长、气道铜绿假单孢菌定植、病死轻女性、吸烟、 较低、咳嗽、圣乔治呼吸问卷评 率升高相关［ ］。
肺癌,吸烟史,‐（四）肺癌 （八）阻塞性睡眠呼吸暂停（ ）OSA肺气肿和肺癌的相关性高于气流受限和肺癌 慢阻肺患者合并 的患病率为OSA%~的相关性［ ］，同时具有肺气肿和气流受限者肺 ［ ］，中重度慢阻肺患者 患
阻塞性睡眠呼吸暂停,吸烟史,‐（四）肺癌 （八）阻塞性睡眠呼吸暂停（ ）OSA肺气肿和肺癌的相关性高于气流受限和肺癌 慢阻肺患者合并 的患病率为OSA%~的相关性［ ］，同时具有肺气肿和气流受限者肺 ［ ］，中重度慢阻肺患者 患
慢性阻塞性肺疾病,吸烟史,...括年≥.mmol/L量异常，即口服 葡萄糖负荷后 血糖 龄、吸烟史、慢阻肺家族遗传倾向、低出生体重、儿gh ≥即可诊断 型糖尿...
慢性阻塞性肺疾病,空气污染,.../ /常，基于此，近期国际上提出了较多新术语（见 吸道感染、空气污染或其他肺部损伤引起的局部和表 ）［］，旨在结合一级和二级预防...
支气管哮喘,吸烟,...urrent smoker.（RR=.）.重度急性加重事◼ 吸烟状态：对于不同吸烟状态人群，中/重度急性加重事件Overal...
慢性阻塞性肺疾病,二氧化硫,...雾与吸烟具有协同作用空气污染：颗粒物质（ ）和有害气体物质（二氧化硫、二氧化氮、臭氧和一氧化碳等）与慢阻肺的发病呈暴露剂量、时间...
慢性阻塞性肺疾病,二氧化氮,...有协同作用空气污染：颗粒物质（ ）和有害气体物质（二氧化硫、二氧化氮、臭氧和一氧化碳等）与慢阻肺的发病呈暴露剂量、时间相. PM...
慢性阻塞性肺疾病,二氧化硅,...发病呈暴露剂量、时间相. PM关性［⁃职业性粉尘和化学物质：二氧化硅、煤尘、有机粉尘、过敏原等的浓度过大或接触时间过久，均可导致...
支气管扩张,细菌感染,肺功能检查提示限制性通气功能障碍支气管扩张症 大量脓痰，部分患者可表现为咯血，常伴有细菌感染，听诊可闻及粗湿啰音，可见杵状指， 线胸片或 示支气管扩X ...
支气管哮喘,气候变化,哮喘患者的气道黏液纤毛清除功能较对照 其在遇到刺激物、气候变化及感染加重时尤为明显。
慢性阻塞性肺疾病,抗感染,...冷汗淋漓、精神萎靡的患者，在有创—无创正压通气、吸氧、平喘、抗感染治疗的基础上，推 无创序贯机械通气和基础治疗（解痉平喘药物、...
支气管哮喘,污染物,...恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致的肺部和全身炎症反应...
肺炎,细菌感染,阻肺急性加重患者合并细菌感染时最常见的临床 中西医结合治疗急性呼吸衰竭可能有助于提高总证候，针对痰热壅肺证患者，在西医规范治疗基础 有效率、撤机成功率、改善血氧和二氧化碳分压、上，酌情加用清热化痰类中
糖尿病,呼吸道感染,...烟史、慢阻肺家族遗传倾向、低出生体重、儿gh ≥即可诊断 型糖尿病，并不要求患者一 童时期下呼吸道感染、特应性，甚至出现某些呼吸.mmol/L定出现三多一少症状［...
肺癌,吸烟,阐述了“哮喘 慢阻肺重叠综合征（ ）”的定义，‐ ACOS肺癌：慢阻肺患者罹患肺癌的概率为普通人 提出了对慢性气道疾病五步诊断法、 的具体. ACOS的 倍，即使控制了吸烟因素后，发生肺癌的概 诊断标
心力衰竭,呼吸道感染,...的诱发因素，并积极采取行动和措施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心
肺栓塞,呼吸道感染,...的诱发因素，并积极采取行动和措施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心
心力衰竭,吸烟,...施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或
肺栓塞,吸烟,...施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或
慢性阻塞性肺疾病,污染物,...，锻炼，戴口罩防护环境因素（吸烟、大气污染、变应原等）：减少污染物暴露疫苗预防：每年 次（秋季）注射流感疫苗；
肺炎,抗感染,...社区 痰多质黏色黄，舌红苔黄的患者，在止咳化痰、平喘、获得性肺炎患者日，报告不良反应共例，包括恶心、 持续低流量吸氧、抗感染基础上推荐联合使用痰热清注上腹部不适、静脉炎，与对照组比较，...
呼吸衰竭,抗感染,推荐意见：对慢阻肺急性加重期合并呼吸衰竭且推荐意见：对于慢阻肺急性加重期合并呼吸衰竭， 存在有创机械通气指征，兼咳嗽、憋喘、心慌、面色苍兼发热、咳嗽、咯痰不利、舌红、苔黄的患者，在间断 白、四肢冰冷、
慢性阻塞性肺疾病,烟草烟雾,...，有文献报道女慢阻肺是一种常见的、可预防和治疗的慢性气 性对烟草烟雾的危害更敏感［， ］。
骨质疏松症,吸烟,危害（ ）：使吸烟者认识② Risk病）、骨骼肌功能障碍、骨质疏松症、焦虑 抑郁、睡 到吸烟的严重健康危害。
支气管哮喘,吸烟史,患者%~% CT慢阻肺应与哮喘、支气管扩张症、充血性心力 往往吸烟史较长，每日痰量较大，加重次数较多，肺衰竭、肺结核和弥漫性泛细...
支气管扩张,吸烟史,患者%~% CT慢阻肺应与哮喘、支气管扩张症、充血性心力 往往吸烟史较长，每日痰量较大，加重次数较多，肺衰竭、肺结核和弥漫性泛细...
肺结核,吸烟史,...者%~% CT慢阻肺应与哮喘、支气管扩张症、充血性心力 往往吸烟史较长，每日痰量较大，加重次数较多，肺衰竭、肺结核和弥漫性泛细支气管炎等相鉴别，尤 功能较差，炎症生物标志物水...
鼻窦炎,吸烟,...障碍CT弥漫性泛细支气管炎 主要发生在亚洲人群中，多为男性非吸烟者，患者几乎均有慢性鼻窦炎， 胸片和高分辨率 示弥漫性小叶中央结X CT节影和过度充气...
呼吸衰竭,吸烟,...（包括烟（）出现严重的合并症如心律失常、心力衰竭、 龄、每日吸烟量等）以及是否使用电子烟和其他烟呼吸衰竭等。
支气管哮喘,烟草烟雾,氨溴索还可通过调节氧化应激反应使慢．戒烟干预：烟草烟雾是包括慢阻肺及哮喘在阻肺急性加重患者获益∞“。
