head,tail,context
慢性阻塞性肺疾病,支气管舒张剂,表中西医联合防治慢性阻塞性肺疾病临床应用指南推荐意见摘要分期/合并症 目的 适用人群 证候 西医基础治疗 推荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考G
慢性阻塞性肺疾病,长效β2受体激动剂,obstructive lung disease，GOLD）建议血嗜酸粒细胞慢阻肺的免疫调节治疗计数> 个/μl的慢阻肺...
慢性阻塞性肺疾病,吸入药物,表中西医联合防治慢性阻塞性肺疾病临床应用指南推荐意见摘要分期/合并症 目的 适用人群 证候 西医基础治疗 推荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考G
慢性阻塞性肺疾病,长效毒蕈碱拮抗剂,对于既往吸烟且当前未给药时间ww吸烟人群，相对风险RR=.，基于上 入组人数年龄±±±±述数据，Itepekimab已启...
慢性阻塞性肺疾病,ICS联合LABA,...RIFY-当下吸烟%%%%/两项Ph临床研究，主要入组既往吸ICS+LABA+LAMA（%） ICS+LABA+LAMA（~%）ICS+L...
慢性阻塞性肺疾病,吸入性糖皮质激素,...初始禁忌证或对 无有效应答，应降级减少或更换ICS ICS图慢性阻塞性肺疾病稳定期药物治疗的随访及流程· · 中华结核和呼吸杂志 年 月...
慢性阻塞性肺疾病,LABA联合LAMA,表中西医联合防治慢性阻塞性肺疾病临床应用指南推荐意见摘要分期/合并症 目的 适用人群 证候 西医基础治疗 推荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考G
肺栓塞,线胸片,住院患者首选气胸 线胸片或超声 SABA SAMA胸腔积液 X 线胸片或超声 雾化吸入给药，而门诊家庭治疗可采用经储物罐吸肺栓塞 二聚体和（或）下肢静脉彩超、D‐ 入定量气雾剂的方法或家庭...
肺栓塞,短效β2受体激动剂,... 线胸片或超声 雾化吸入给药，而门诊家庭治疗可采用经储物罐吸肺栓塞 二聚体和（或）下肢静脉彩超、D‐ 入定量气雾剂的方法或家庭...
慢性阻塞性肺疾病,糖皮质激素,"...气胸 新发生的严重呼吸衰竭 线胸片可疑支 使用支气管舒张剂 糖皮质激素和口服抗菌药物, ,X 、气管扩张症 肺不张 胸腔积液 心包..."
心血管疾病,吸入药物,在吸入药物治疗的基础上，有研 及急性加重后至少 内，合并缺血性心脏病的d究表明 抑制剂（罗氟司特）［ ］、大环内酯类 高风险患者发生心血管事件（死亡、心肌梗死、卒PDE‐抗生素［ ］及对维生素 重度缺
心肌梗死,吸入药物,在吸入药物治疗的基础上，有研 及急性加重后至少 内，合并缺血性心脏病的d究表明 抑制剂（罗氟司特）［ ］、大环内酯类 高风险患者发生心血管事件（死亡、心肌梗死、卒PDE‐抗生素［ ］及对维生素 重度缺
心肌梗死,长效β2受体激动剂,...性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌梗死，应用高选择性 受体阻滞剂治LAMA β疗是安全的，如有应用...
心肌梗死,长效毒蕈碱拮抗剂,...性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌梗死，应用高选择性 受体阻滞剂治LAMA β疗是安全的，如有应用...
心肌梗死,LABA联合LAMA,...措施疗，应按照缺血性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌梗死，应用高选择性 受体阻滞剂治LAMA β疗是安全的，如有应用...
心肌梗死,吸入性糖皮质激素,...性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌梗死，应用高选择性 受体阻滞剂治LAMA β疗是安全的，如有应用...
心肌梗死,ICS联合LABA,...性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌梗死，应用高选择性 受体阻滞剂治LAMA β疗是安全的，如有应用指证，则获益多于潜在风LABA+LAMA包含 的复合制剂ICS I
心力衰竭,支气管舒张剂,对于接受长效支气管舒张剂治疗的慢阻肺肺减容术患者，如呼吸困难无明显好转，应注意心力衰竭。
慢性阻塞性肺疾病,受体阻断剂,...素 慢阻肺患者心力衰竭的治疗应按照心力衰竭指南进行，选择性 受体阻断剂用于有明确的心血管适七、慢阻肺与合并症应症的慢阻肺患者，不推...
心力衰竭,受体阻断剂,肺康复补充维生素 慢阻肺患者心力衰竭的治疗应按照心力衰竭指南进行，选择性 受体阻断剂用于有明确的心血管适七、慢阻肺与合并症应症的慢阻肺患者，不推...
肺癌,短效β2受体激动剂,...因可能诱发心房颤动，不利于控制心室 （ ）筛查可及时发现早期肺癌，可作为改善CT LDCT率［ ， ］。
支气管炎,抗菌药物,（）减充血剂与抗组胺药：减充血剂与第一 外证据表明，抗菌药物治疗对急性气管 支气管炎A‑代抗组胺药物联合应用能明显缓解咳嗽，改善打喷 患者的咳嗽...
支气管哮喘,口服抗菌药物,相关检查，治疗 感冒 急性支 其他 哮喘 慢性支 支气管 其他气管炎 气管炎 扩张 如有明确细菌感染征象，如咳脓性图急性咳嗽的诊断流程图 痰或外周血白细胞计数增高者，可· · 中华全科医师杂志 年 月
支气管炎,激动剂,...咳嗽，感染因素依旧存在，可能需要抗感染治疗，前，伴喘息的急性支气管炎成人患者，使用 受体 建议考虑此部分患者转诊至专科医院，明确其感染激动剂可能受益。
慢性阻塞性肺疾病,抗胆碱能药物,新近的临床研究显示， 三联ICS+LABA+LAMA抗胆碱能药物：通过阻断 和 胆碱受 药物方案较 在减少急性加重、改善肺功...
慢性阻塞性肺疾病,短效β2受体激动剂,. SABA三、慢阻肺急性加重的诊断和鉴别诊断中度：可以在门诊治疗，需要使用 和. SABA（一）慢阻肺急性加重的诊断抗...
慢性阻塞性肺疾病,激动剂,...长效 推荐意见 ：细菌溶解产物、磷酸二酯酶抑制剂、β -受体激动剂（long acting beta-agonists，LAB...
支气管炎,减充血剂,（）减充血剂与抗组胺药：减充血剂与第一 外证据表明，抗菌药物治疗对急性气管 支气管炎A‑代抗组胺药物联合应用能明显缓解咳嗽，改善打喷 患者的咳嗽...
支气管炎,第一代抗组胺药物,单用第一代抗组胺药物治疗无明 菌药物治疗急性气管 支气管炎（ ）。
鼻窦炎,糖皮质激素,推荐应用鼻用糖皮质激素口咽部黏膜可呈鹅卵石样改变或咽后壁附有黏脓 激素治疗伴有鼻息肉的慢性鼻窦炎，可避免不必要性分泌物。
非变应性鼻炎,减充血剂,是哮喘的一种特殊类型，咳嗽是其唯一或CVA（）病因治疗： 非变应性鼻炎以及普通感冒： 主要临床表现，无明显喘息、气促等症状，但存在气推荐首选口服第一代抗组胺药和减充血剂治 道高反应性。
慢性阻塞性肺疾病,苏子降气丸,研究证据表明［-］，中医辨证治疗、中西医结合中成药:) 苏子降气丸( 证据级别: D; 推荐强 治疗COPD 稳定期的疗效较安...
肺炎,糖皮质激素,非药物干预措施包 不超过 d，超过 d的口服糖皮质激素与慢阻肺急括患者教育、肺康复治疗、长期氧疗、家庭无创通气、 性加重肺炎及死亡风险增加有关。
慢性阻塞性肺疾病,抗菌药物,"西班牙 诊断和治疗指南中抗菌药物 患者 临床上发现合并医院获得性肺炎AECOPD AECOPD ,推荐[]:()对于无铜绿假单胞菌感染危 或者呼吸机相关性肺炎可以结合影像学痰液性状险因素的患者 主要依"
支气管哮喘,糖皮质激素,...染痰中EOS增多提 并心肌损伤都会增加患者死亡风险[]因此示糖皮质激素治疗反应性好[] 心电图异常或呼吸困难比 预期更严重AECO...
心力衰竭,抗菌药物,... ( )异常表现包括右心房增大 右心室肥厚 右束支传 有使用抗菌药物或口服糖皮质激素治疗 病程迁、 、 ( 、导阻滞 肢体导联电压低 型 电轴右 延 每年急性加重超过 次、 、SSS、 、、FE
心力衰竭,糖皮质激素,...现包括右心房增大 右心室肥厚 右束支传 有使用抗菌药物或口服糖皮质激素治疗 病程迁、 、 ( 、导阻滞 肢体导联电压低 型 电轴右 延 每年急性加重超过 次、 、SSS、 、、FEV%pred<
呼吸衰竭,支气管舒张剂,"...受药物治疗 包括, , AECOPD ,杂气胸 新发生的严重呼吸衰竭 线胸片可疑支 使用支气管舒张剂 糖皮质激素和口服抗菌药物, ,X 、气管扩张症 肺不张 胸..."
呼吸衰竭,糖皮质激素,"...受药物治疗 包括, , AECOPD ,杂气胸 新发生的严重呼吸衰竭 线胸片可疑支 使用支气管舒张剂 糖皮质激素和口服抗菌药物, ,X 、气管扩张症 肺不张 胸腔积液 心包..."
慢性阻塞性肺疾病,口服抗菌药物,"...的严重呼吸衰竭 线胸片可疑支 使用支气管舒张剂 糖皮质激素和口服抗菌药物, ,X 、气管扩张症 肺不张 胸腔积液 心包积液 肺部 等..."
呼吸衰竭,口服抗菌药物,"...受药物治疗 包括, , AECOPD ,杂气胸 新发生的严重呼吸衰竭 线胸片可疑支 使用支气管舒张剂 糖皮质激素和口服抗菌药物, ,X 、气管扩张症 肺不张 胸腔积液 心包积液 肺部 等..."
肺炎,抗菌药物,"西班牙 诊断和治疗指南中抗菌药物 患者 临床上发现合并医院获得性肺炎AECOPD AECOPD ,推荐[]:()对于无铜绿假单胞..."
右心衰竭,支气管舒张剂,"...失常治疗手段 治疗手段参见 肺血栓栓塞症AECOPD “并发右心衰竭时 有效地控制呼吸道感 诊治与预防指南 []和 急性肺血栓栓塞症诊断AECOPD , ” “染 应用支气管舒张剂 改善缺氧和高"
慢性阻塞性肺疾病,羧甲司坦,...祛痰药 重且外周血 升高的慢阻肺患者能有效减少慢⁃EOS例如羧甲司坦和 乙酰半胱氨酸（ ）可减少未使 阻肺急性加重和改善肺功能［...
支气管哮喘,吸入性糖皮质激素,因此， 六、对于支气管哮喘（简称哮喘）慢阻肺重叠ICS ‐即使 中未将肺结核列为慢阻肺...
肺结核,吸入性糖皮质激素,...、对于支气管哮喘（简称哮喘）慢阻肺重叠ICS ‐即使 中未将肺结核列为慢阻肺的合并症，国 的诊断治疗及管理GOLD内制定慢阻肺...
肺结核,LABA联合LAMA,感染或近期有肺结核感染的患者，应谨慎使用LABA+LAMA长效 受体激动剂（ ， ［ ］。
肺结核,激动剂,感染或近期有肺结核感染的患者，应谨慎使用LABA+LAMA长效 受体激动剂（ ， ［ ］。
慢性阻塞性肺疾病,恩塞芬汀,...戏 注册 登录Ohtuvayre(ensifentrine，恩塞芬汀)【Ohtuvayre适应症和用途】OHTUVAYRE是一种磷酸二酯酶(PDE)抑制剂和磷酸二酯酶(PDE)抑制剂，用于成人慢
