head,tail,context
慢性阻塞性肺疾病,肺功能,...目 一级医院 二级医院 慢阻肺诊断改进空间 医生（N=）简易肺功能仪.%.% 患者不重视，未及时就诊%大肺功能仪 -.% 患者...
慢性阻塞性肺疾病,CT,必要时行胸部 检查CT肺栓塞 临床可能性评估（咯血、外科 低氧血症与慢阻肺的严重程...
呼吸衰竭,肺功能,肺功能检查 a（）脉搏氧饱和度（ ）监测和动脉血气分析：当SpO患者临床症状提示有呼吸衰竭或右心衰竭时应监使用支气管舒张剂后 使用支气管舒张剂后测 。
右心衰竭,肺功能,肺功能检查 a（）脉搏氧饱和度（ ）监测和动脉血气分析：当SpO患者临床症状提示有呼吸衰竭或右心衰竭时应监使用支气管舒张剂后 使用支气管舒张剂后测 。
慢性阻塞性肺疾病,血气分析,...以上医院在确定治疗和管理方 FEV ）测定、检测血氧饱和度和血气分析以评估患案后，应到基层医疗机构接受长期管理。
慢性阻塞性肺疾病,心电图,"AECOPD ,心电图学评价 患者常见心电图 病原菌 铜绿假单胞菌 或其他革兰阴性..."
支气管哮喘,心电图,...病（简称慢阻肺）诊断流程慢阻肺合并慢性肺动脉高压或慢性肺心病心电图鉴别诊断：慢阻肺应与哮喘、支气管扩张症、可表现为：额面平均电轴 ；
支气管扩张,心电图,...病（简称慢阻肺）诊断流程慢阻肺合并慢性肺动脉高压或慢性肺心病心电图鉴别诊断：慢阻肺应与哮喘、支气管扩张症、可表现为：额面平均电轴 ；
支气管扩张,CT,CTC部 检查有助于发现气管壁增厚、气管壁钙化、气 （）变应原皮试和血清 检查：用于检测患CTIgE管狭窄、支气管扩张等，对于一些少见的慢性咳嗽 者是否存在特应质和确定变应原类型...
呼吸衰竭,脉搏血氧,部 检查、诱导痰细胞学分类、呼出气一氧化氮CT脉搏血氧饱和度监测和血气分析：脉搏血氧 （ ， ）检测、超声心. fractional exhaled nitric oxide FeNO饱和度可用于评估
呼吸衰竭,血气分析,...查、诱导痰细胞学分类、呼出气一氧化氮CT脉搏血氧饱和度监测和血气分析：脉搏血氧 （ ， ）检测、超声心. fractional exhaled nitric oxide FeNO饱和度可用于评估
心力衰竭,血气分析,...查、诱导痰细胞学分类、呼出气一氧化氮CT脉搏血氧饱和度监测和血气分析：脉搏血氧 （ ， ）检测、超声心. fractional exhaled nitric oxide FeNO饱和度可用于评估
心力衰竭,脉搏血氧,部 检查、诱导痰细胞学分类、呼出气一氧化氮CT脉搏血氧饱和度监测和血气分析：脉搏血氧 （ ， ）检测、超声心. fractional exhaled nitric oxide FeNO饱和度可用于评估
肺动脉高压,心电图,慢阻肺合并慢性肺动脉高压或慢性肺心病 进行推荐项目检查的目的是为了进一步评估慢阻的心电图可表现为：额面平均电轴 ；
支气管哮喘,肺功能,肺功能检查提示阻塞性通气功能障碍，且为持续并进展性气流受限支气管哮喘 早年发病（通常在儿童期），每日症状变化快，夜间和清晨症状明...
心力衰竭,肺功能,肺功能检查多为可逆性气流受限充血性心力衰竭 线胸片示心脏扩大、肺水肿，心脏病史、心电图、超声心动图、型...
支气管扩张,肺功能,...性阻塞性肺疾病患者自我评估测试问卷;SGＲQ:圣·乔治医..肺功能检查 吸入支气管扩张剂后 FEV /FVC＜院呼吸问题调查问卷;GOLD:慢性阻...
肺结核,肺功能,肺功能检查可出现阻塞性通气功能障碍肺结核 所有年龄均可发病， 线胸片示肺浸润性病灶或结节状、空洞样改...
鼻窦炎,肺功能,肺功能检查可出现阻塞性通气功能障碍CT弥漫性泛细支气管炎 主要发生在亚洲人群中，多为男性非吸烟者，患者几乎均有慢性鼻窦炎， 胸片和高分辨率 示弥漫性小叶中央结X CT节影和过度充气...
阻塞性睡眠呼吸暂停,肺功能,"肺功能检查可出现阻塞性通气功能障碍fmx_TRoZXJNaXJybJz· · 中华全科医师杂志 年 月第 卷第 期Chin J Gen Pract, June, Vol., No.（九）阻塞性睡眠呼吸"
心力衰竭,CT,. X胸腔超声 必要时行超声、胸部 检查. CT心律失常（心房颤动、 心电图、 新出现的心悸和呼吸急促，心电图、 、心电监测常可诊断Hotler Holter心房扑动）急性冠状动脉综合征 心电图 呼吸
心力衰竭,心电图,...超声 必要时行超声、胸部 检查. CT心律失常（心房颤动、 心电图、 新出现的心悸和呼吸急促，心电图、 、心电监测常可诊断Hotler Holter心房扑动）急性冠状动脉综合征 心电图 呼吸困难
肺癌,CT,目前市面上存在‑CTC FeNO往检查仍无法明确病因，或针对常见病因治疗无 多种品牌的 检测仪器，但健康人参考值尚未FeNO效，或怀疑支气管扩张、肺癌或异物等少见病因的 完全统一，且诊断嗜酸粒细胞性气
变应性鼻炎,CT,CTC部 检查有助于发现气管壁增厚、气管壁钙化、气 （）变应原皮试和血清 检查：用于检测患CTIgE管狭窄、支气管扩张等，对于一些少见的慢性咳嗽 者是否存在特应质和确定变应原类型，有助于变应病因，如支
心血管疾病,血气分析,...疗单位可通过 指数评估预后BODE（ ）再次评估血氧饱和度和血气分析有助于更准确判断是否需要长期氧疗（ ）识别和评估急性加重风险和原因：准确识别患者急性加重风险有助于针对性治疗（ ）评估是否存在
右心衰竭,血气分析,肺功能检查 a（）脉搏氧饱和度（ ）监测和动脉血气分析：当SpO患者临床症状提示有呼吸衰竭或右心衰竭时应监使用支气管舒张剂后 使用支气管舒张剂后测 。
心血管疾病,肺功能,...是否存在合并症以及是否给予相应治疗，如合并其他呼吸系统病变、心血管疾病、骨质疏松、营养不良等注： 指数包含 占预计值 、 步行距离、 评分和体重指数 个方面，总分 分，可预测慢阻肺患者生存率BO
慢性阻塞性肺疾病,血嗜酸粒细胞计数,...CS隆 溴 铵 （ ）［ ］ 、乌 美 溴 铵 异质性，外周血嗜酸粒细胞计数可用于指导 的‐glycopyrronium ICS（ ）［...
支气管哮喘,血嗜酸粒细胞计数,对于血嗜酸粒细胞计数 个≥/数 个 的急性加重高风险患者，使用 或合并哮喘的患者...
肺炎,CT,（）肺炎球菌疫苗：多项 研究显示，慢阻肺long‐term oxygen therapy LTOTRCT态下严重低氧血症患者的生存率，对血流动力学、 患者接种肺炎球...
呼吸衰竭,呼吸频率,慢阻肺患急性加重合并 型呼吸衰竭患者首选的呼吸支持 PEEP%Ⅱ 者的撤机过程可能会遇到困难，有创与无创序贯性方式［， ］，可改善患者呼吸性酸中毒，降低 、PaCO机械通气策略有助于早日撤机［呼吸频率
慢性阻塞性肺疾病,呼吸频率,...H≥);疗与必要的呼吸支持 低血压时应用血管活性药物 窘迫 呼吸频率 次 对常规氧疗或; ( >/min); NIV如多巴胺 间...
肺癌,肺功能,...气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌功能障占预计值百分比（使用肺功能分级 气流...
慢性阻塞性肺疾病,吸气流速,"吸气流速 以实现吸呼比达到严重的血流动力学不稳定 , 对液体疗法和血管活性药物无反应 (~L/min),严重的室性心律失常 或 延长呼气时间 同时满足∶∶, , AECOPD威胁生命的低氧血症 不能耐"
慢性支气管炎,CT,图慢性支气管炎、肺气肿、慢性阻塞性肺疾病和支气管哮喘的关系示意图表证据质量和推荐强度分级标准证据质量 证据等级 解释 慢性支气管炎是气管、支气管黏膜及其周围组证据来自高质量的随机对照试验（ ）或 织的
支气管哮喘,CT,图慢性支气管炎、肺气肿、慢性阻塞性肺疾病和支气管哮喘的关系示意图表证据质量和推荐强度分级标准证据质量 证据等级 解释 慢性支气管炎是气管、支气管黏膜及其周围组证据来自高质量的随机对照试验（ ）或 织的
慢性支气管炎,肺功能,当专家意见 CT患者表现为慢性支气管炎和肺气肿时，一定要进推荐强度 推荐等级强推荐 一步行肺功能检查，以判断患者是否达到慢阻肺弱推荐 的诊断标准，一旦达到即...
肺癌,血气分析,以协助除外其他肺部疾病，如肺癌、支气管扩张症、 （）推荐项目包括：动脉血气分析、痰培养、胸肺纤维化等。
支气管扩张,血气分析,以协助除外其他肺部疾病，如肺癌、支气管扩张症、 （）推荐项目包括：动脉血气分析、痰培养、胸肺纤维化等。
呼吸衰竭,心电图,...O饱和度可用于评估患者是否需要氧疗，对于有呼吸 动图、 动态心电图（ ）、肺容量和弥散功能h Holter困难、呼吸衰竭或心力衰竭临床体征的患者应进行 检查、 步行试验（ ， ）、...
心血管疾病,心电图,... 肽 前 体（B N⁃terminal pro⁃B⁃type心电图：对于慢阻肺是否合并肺源性心脏病 ， ） 、 二 聚 体. natriuretic peptide NT⁃proBNP D⁃以及
肺结核,CT,患者%~% CT慢阻肺应与哮喘、支气管扩张症、充血性心力 往往吸烟史较长，每日痰量较大，加重次数较多，肺衰竭、肺结核和弥漫性泛细支气管炎等相鉴别，尤 功能较差，炎症生物标志物水...
鼻窦炎,CT,肺功能检查可出现阻塞性通气功能障碍CT弥漫性泛细支气管炎 主要发生在亚洲人群中，多为男性非吸烟者，患者几乎均有慢性鼻窦炎， 胸片和高分辨率 示弥漫性小叶中央结X CT节影和过度充气...
肺炎,肺功能,近年研究发现，苗包括肺炎球菌多糖结合疫苗（PCV ）和肺炎球菌 用于降脂治疗的他汀类药物在慢阻肺的治疗中可能多糖疫苗（PPV ），其多糖抗原主要用于诱导特异 具有抗炎、改善肺功能、延缓病情恶化等作用［
慢性阻塞性肺疾病,血常规,AECOPD血常规 血红细胞计数及血细胞比容有助 者血浆 浓度可以升高 合并左...
肺栓塞,CT,必要时行胸部 检查CT肺栓塞 临床可能性评估（咯血、外科 低氧血症与慢阻肺的严重程度不一...
肺栓塞,心电图,必要时行胸部 检查CT肺栓塞 临床可能性评估（咯血、外科 低氧血症与慢阻肺的严重程度不一致，低血压，深静脉血栓形成，心电图手术史、骨折、恶性肿瘤病 新出现的心房颤动、右束支传导阻滞、...
慢性阻塞性肺疾病,脉搏血氧,...等、 、 、 、 、 、 、 ( )、注 为无创机械通气 为慢性阻塞性肺疾病急性加重 为脉搏血氧饱和度:NIV ;AECOPD ;SpOfmx_TRoZXJ...
肺炎,呼吸频率,...症状，如流涕、喷嚏、鼻塞和鼻后 气管炎的患者，如心率 次 、呼吸频率≤/min ≤滴流感、咽喉刺激感或不适，可伴发热，全身症状较 次 、体温 且胸部无异常体征者，患肺炎/min ≤℃少［ ］。
心血管疾病,CT,...，本专家共识制订方法 应对急性加重发生率、肺功能下降率、胸部CT扫描、本共识写作组围绕中国慢阻肺中西医结合管理应 心血管疾病及肺癌发病风险等进行综合评估。
红细胞增多症,血常规,"AECOPD血常规 血红细胞计数及血细胞比容有助 者血浆 浓度可以升高 合并左心室衰NT-proBNP ,于了解红细胞增多症或有无出血或贫血血白细胞 竭时升高更明显[-]肌钙蛋白常被用..."
贫血,血常规,"AECOPD血常规 血红细胞计数及血细胞比容有助 者血浆 浓度可以升高 合并左心室衰NT-proBNP ,于了解红细胞增多症或有无出血或贫血血白细胞 竭时升高更明显[-]肌钙蛋白常被用于评估急性计数通"
呼吸衰竭,CT,使用参附注射液辅助治疗较对照组，可减少患者有创通另项RCT研究（例）[]联用痰热清注射液较 气时间（MD -.，%CI：-.~-.）、总机械通气对照组，可有效改善慢阻肺急性加重期合并呼吸衰竭患 时间（
肺动脉高压,吸气流速,"...导致 加重 一般, DPH ,~严重误吸或持续呕吐次 即可 吸气流速 通常选择较高的长期不能排出呼吸道的分泌物/min 。"
右心衰竭,心电图,AECOPD 、利尿剂 利尿剂适用于顽固性右心衰竭 听诊区第二心音亢进 第三心音 收缩期三尖瓣杂、 、 、明显水肿及合并急性左心衰竭的 患者 音等体征支持肺动脉高压的推断 而心电图可见右AECOPD 
肺动脉高压,CT,另有 安全性：纳入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反应，慢阻肺合并肺动脉高压患者周，记录不良反应包括项研究[]报
